figure,png,svg
1,Fig_layout_comparison_1200dpi.png,Fig_layout_comparison.svg
2,Fig_transfer_vs_uniform_1200dpi.png,Fig_transfer_vs_uniform.svg
3,Fig_objective_transfer_1200dpi.png,Fig_objective_transfer.svg
4,Fig07_External_Profile_Transfer_1200dpi.png,Fig07_External_Profile_Transfer.svg
5,Fig06_Digital_Field_Transfer_1200dpi.png,Fig06_Digital_Field_Transfer.svg
6,Fig08_Methodological_Sensitivity_1200dpi.png,Fig08_Methodological_Sensitivity.svg
S1,Fig_forward_sequence_1200dpi.png,Fig_forward_sequence.svg
S2,Fig_sensitivity_envelope_1200dpi.png,Fig_sensitivity_envelope.svg
S3,Fig_environment_coupling_1200dpi.png,Fig_environment_coupling.svg
S4,Fig_phase_transfer_1200dpi.png,Fig_phase_transfer.svg
