reference_pitch_m,boundary_rule,interpolator,layout_source,additional_stations_b,pile,stages,median_paired_delta,median_candidate_nrmse,median_uniform_nrmse,median_distance_weighted_delta,median_outside_sse_fraction,median_delta_squared_error_inside,median_delta_squared_error_outside
0.2,boundary_constrained,linear,SKS02,2,F1,12,0.012839348762924186,0.0552891770865169,0.043181377752204216,0.011549030559262603,0.0,0.0012575041753146777,0.0
0.2,boundary_constrained,linear,SKS02,2,F2,12,0.005396294456193093,0.052713316261542416,0.05015942512958891,0.0018599594518527336,0.0,0.0005572970260603845,0.0
0.2,boundary_constrained,linear,SKS02,2,T1,15,0.08415620876359799,0.18716745597191678,0.10110269137397947,0.07629877139895308,0.0,0.02420678855221829,0.0
0.2,boundary_constrained,linear,SKS02,2,T2,8,0.06603036249375688,0.11674214450603913,0.04900383665623914,0.061324064116851686,0.0,0.011039258107952376,0.0
0.2,boundary_constrained,linear,SKS02,2,T3,6,0.02750728068301998,0.06374275363404963,0.043397731153020536,0.027455824589994886,0.0,0.0027508988991630417,0.0
0.2,boundary_constrained,linear,SKS02,3,F1,12,0.001874283762245986,0.047189452764811235,0.04655748933178984,0.0011069565091863208,0.0,0.00017316423404305388,0.0
0.2,boundary_constrained,linear,SKS02,3,F2,12,-0.0023318677570519156,0.046215308060018716,0.049856725667671534,-0.003486408288077017,0.0,-0.00022443259726680307,0.0
0.2,boundary_constrained,linear,SKS02,3,T1,15,0.05183287327453932,0.11738042352293715,0.06874978110237052,0.0471756571531067,0.0,0.009524570450428059,0.0
0.2,boundary_constrained,linear,SKS02,3,T2,8,0.023982796400829627,0.05185930177892112,0.029535898394819973,0.02174970728623538,0.0,0.00198359553664843,0.0
0.2,boundary_constrained,linear,SKS02,3,T3,6,0.005629964905797164,0.044046168977735056,0.03567421576257008,0.005591413162718328,0.0,0.0005128983546987815,0.0
0.2,boundary_constrained,linear,SKS02,4,F1,12,0.0018164358209369902,0.04553552847422204,0.04521688300855199,0.0003393935413809959,0.0,0.00016256734461847874,0.0
0.2,boundary_constrained,linear,SKS02,4,F2,12,-0.013542450362827713,0.04110500152792356,0.05418144625682509,-0.01802099735858549,0.0,-0.0012617537491437136,0.0
0.2,boundary_constrained,linear,SKS02,4,T1,15,-0.005288442112376238,0.04522774050381988,0.051709368105864455,-0.004877921400441701,0.0,-0.0005063361950320059,0.0
0.2,boundary_constrained,linear,SKS02,4,T2,8,0.004746585855178818,0.03019022920026515,0.025534200490468784,0.003626543500593318,0.0,0.00025336961609424786,0.0
0.2,boundary_constrained,linear,SKS02,4,T3,6,0.015301856266681266,0.0494461851440908,0.03385703777149804,0.015201611267872579,0.0,0.0012861365318039613,0.0
0.2,boundary_constrained,linear,SKS03,2,F1,12,0.012839348762924186,0.0552891770865169,0.043181377752204216,0.011549030559262603,0.0,0.0012575041753146777,0.0
0.2,boundary_constrained,linear,SKS03,2,F2,12,0.005396294456193093,0.052713316261542416,0.05015942512958891,0.0018599594518527336,0.0,0.0005572970260603845,0.0
0.2,boundary_constrained,linear,SKS03,2,T1,15,0.08415620876359799,0.18716745597191678,0.10110269137397947,0.07629877139895308,0.0,0.02420678855221829,0.0
0.2,boundary_constrained,linear,SKS03,2,T2,8,0.06603036249375688,0.11674214450603913,0.04900383665623914,0.061324064116851686,0.0,0.011039258107952376,0.0
0.2,boundary_constrained,linear,SKS03,2,T3,6,0.02750728068301998,0.06374275363404963,0.043397731153020536,0.027455824589994886,0.0,0.0027508988991630417,0.0
0.2,boundary_constrained,linear,SKS03,3,F1,12,0.001874283762245986,0.047189452764811235,0.04655748933178984,0.0011069565091863208,0.0,0.00017316423404305388,0.0
0.2,boundary_constrained,linear,SKS03,3,F2,12,-0.0023318677570519156,0.046215308060018716,0.049856725667671534,-0.003486408288077017,0.0,-0.00022443259726680307,0.0
0.2,boundary_constrained,linear,SKS03,3,T1,15,0.05183287327453932,0.11738042352293715,0.06874978110237052,0.0471756571531067,0.0,0.009524570450428059,0.0
0.2,boundary_constrained,linear,SKS03,3,T2,8,0.023982796400829627,0.05185930177892112,0.029535898394819973,0.02174970728623538,0.0,0.00198359553664843,0.0
0.2,boundary_constrained,linear,SKS03,3,T3,6,0.005629964905797164,0.044046168977735056,0.03567421576257008,0.005591413162718328,0.0,0.0005128983546987815,0.0
0.2,boundary_constrained,linear,SKS03,4,F1,12,-0.012832704644700738,0.032690225812909576,0.04521688300855199,-0.013089695404515544,0.0,-0.000981521545826795,0.0
0.2,boundary_constrained,linear,SKS03,4,F2,12,-0.014986154290441717,0.04330574675887501,0.05418144625682509,-0.016769494812491906,0.0,-0.001430334399520693,0.0
