pile,stage,reference_pitch_m,boundary_rule,interpolator,layout_source,additional_stations_b,total_retained,reference_levels,measured_span_m,head_to_dfos_gap_m,candidate_realised_z,uniform_realised_z,candidate_nrmse,uniform_nrmse,delta_nrmse,delta_distance_weighted_nrmse,candidate_outside_sse_fraction,delta_squared_error_inside,delta_squared_error_outside
F1,Step 1,0.2,original,linear,SKS02,2,3,93,19.45,1.38,0.000000;0.142931;0.430848,0.000000;0.502828;1.000000,0.22064956713771772,0.04010164783715978,0.18054791930055794,0.16556088988028828,0.9894032874318608,-0.00037994184240954236,0.04745803116121617
F1,Step 2,0.2,original,linear,SKS02,2,3,93,19.45,1.38,0.000000;0.142931;0.430848,0.000000;0.502828;1.000000,0.2192948852115155,0.035867960011794854,0.18342692519972065,0.17125523599501868,0.99033694069673,4.065009736062857e-05,0.046763086027163406
F1,Step 3,0.2,original,linear,SKS02,2,3,93,19.45,1.38,0.000000;0.142931;0.430848,0.000000;0.502828;1.000000,0.21228115766812522,0.03580515459236092,0.1764760030757643,0.16327260318365652,0.9906339515159229,-3.86491405496777e-05,0.04381992994608624
F1,Step 4,0.2,original,linear,SKS02,2,3,93,19.45,1.38,0.000000;0.142931;0.430848,0.000000;0.502828;1.000000,0.2058077371466755,0.033158599422591466,0.17264913772408402,0.15965518213471958,0.9917283070968339,-0.00012733898129809325,0.04138467093506529
F1,Step 5,0.2,original,linear,SKS02,2,3,93,19.45,1.38,0.000000;0.142931;0.430848,0.000000;0.502828;1.000000,0.19275618833178207,0.04262411578891891,0.15013207254286315,0.1366438932617056,0.9911371975321759,-0.00046226777773329284,0.035800400671143574
F1,Step 6,0.2,original,linear,SKS02,2,3,93,19.45,1.38,0.000000;0.142931;0.430848,0.000000;0.502828;1.000000,0.18581021877100914,0.04373863971548952,0.14207157905551962,0.12995776113309152,0.9942544143699245,-0.00018942151755881284,0.032801790313127695
F1,Step 7,0.2,original,linear,SKS02,2,3,93,19.45,1.38,0.000000;0.142931;0.430848,0.000000;0.502828;1.000000,0.1847847347781649,0.04116101693169591,0.143623717846469,0.13204559264516938,0.9940067338382043,-0.00013358685295611854,0.032584755745141504
F1,Step 8,0.2,original,linear,SKS02,2,3,93,19.45,1.38,0.000000;0.142931;0.430848,0.000000;0.502828;1.000000,0.1862726726336304,0.047520169610028966,0.13875250302360143,0.1269966948958314,0.9948748580837137,-0.00016627009602719067,0.03260561214633691
F1,Step 9,0.2,original,linear,SKS02,2,3,93,19.45,1.38,0.000000;0.142931;0.430848,0.000000;0.502828;1.000000,0.18275590180116505,0.04803474515892128,0.13472115664224377,0.12349013670707018,0.995582336457855,-6.822261474782297e-05,0.031160605515422393
F1,Step 10,0.2,original,linear,SKS02,2,3,93,19.45,1.38,0.000000;0.142931;0.430848,0.000000;0.502828;1.000000,0.18195571629535442,0.05121238127955318,0.13074333501580124,0.11945737435766121,0.995655874386016,-7.505179593519783e-05,0.03056022649216837
