reference_pitch_m,boundary_rule,interpolator,layout_source,additional_stations_b,piles,median_pile_delta,min_pile_delta,max_pile_delta,piles_lower,piles_equivalent,piles_higher
0.2,boundary_constrained,linear,SKS02,2,5,0.02750728068301998,0.005396294456193093,0.08415620876359799,0,0,5
0.2,boundary_constrained,linear,SKS02,3,5,0.005629964905797164,-0.0023318677570519156,0.05183287327453932,0,2,3
0.2,boundary_constrained,linear,SKS02,4,5,0.0018164358209369902,-0.013542450362827713,0.015301856266681266,2,2,1
0.2,boundary_constrained,linear,SKS03,2,5,0.02750728068301998,0.005396294456193093,0.08415620876359799,0,0,5
0.2,boundary_constrained,linear,SKS03,3,5,0.005629964905797164,-0.0023318677570519156,0.05183287327453932,0,2,3
0.2,boundary_constrained,linear,SKS03,4,5,-0.012832704644700738,-0.027791816437909102,0.006556336921968654,3,1,1
0.2,boundary_constrained,pchip,SKS02,2,5,0.031104673872854233,-0.0011005915349735149,0.05905025044838211,0,1,4
0.2,boundary_constrained,pchip,SKS02,3,5,0.005720411280193426,-0.00031146126777393743,0.019574884325751364,0,2,3
0.2,boundary_constrained,pchip,SKS02,4,5,0.005517811190581187,0.004216657197979132,0.018314201412625037,0,2,3
0.2,boundary_constrained,pchip,SKS03,2,5,0.031104673872854233,-0.0011005915349735149,0.05905025044838211,0,1,4
0.2,boundary_constrained,pchip,SKS03,3,5,0.005720411280193426,-0.00031146126777393743,0.019574884325751364,0,2,3
0.2,boundary_constrained,pchip,SKS03,4,5,-0.006456085084484826,-0.011080120585483789,0.00597746394333099,3,0,2
0.2,original,linear,SKS02,2,5,0.15442754582916635,0.11107746179661765,0.19705560122363344,0,0,5
0.2,original,linear,SKS02,3,5,0.018066347574108365,0.00341767054357121,0.034532899243912535,0,1,4
0.2,original,linear,SKS02,4,5,0.0018164358209369902,-0.013542450362827713,0.015301856266681266,2,2,1
0.2,original,linear,SKS03,2,5,0.02113357545079632,0.00484667684217609,0.08345820310965674,0,1,4
0.2,original,linear,SKS03,3,5,0.005629964905797164,-0.0023318677570519156,0.05183287327453932,0,2,3
0.2,original,linear,SKS03,4,5,-0.012832704644700738,-0.027791816437909102,0.006556336921968654,3,1,1
0.2,original,pchip,SKS02,2,5,0.15503542439041487,0.14725128831621426,0.21192555194876614,0,0,5
0.2,original,pchip,SKS02,3,5,0.03580261656088978,0.017524854770296205,0.05762597629805787,0,0,5
0.2,original,pchip,SKS02,4,5,0.005517811190581187,0.004216657197979132,0.018314201412625037,0,2,3
0.2,original,pchip,SKS03,2,5,0.023393555995581985,0.017537004963769857,0.1018534452075806,0,0,5
0.2,original,pchip,SKS03,3,5,0.005720411280193426,-0.00031146126777393743,0.019574884325751364,0,2,3
0.2,original,pchip,SKS03,4,5,-0.006456085084484826,-0.011080120585483789,0.00597746394333099,3,0,2
0.4,boundary_constrained,linear,SKS02,2,5,0.024264248829683432,0.004881034317371802,0.08219295870549706,0,1,4
0.4,boundary_constrained,linear,SKS02,3,5,0.007543216914388442,-0.0030955995618191547,0.051230583792138976,0,2,3
0.4,boundary_constrained,linear,SKS02,4,5,0.006405218139529829,-0.013849830155273909,0.014643607826217129,1,1,3
0.4,boundary_constrained,linear,SKS03,2,5,0.024264248829683432,0.004881034317371802,0.08219295870549706,0,1,4
0.4,boundary_constrained,linear,SKS03,3,5,0.007543216914388442,-0.0030955995618191547,0.051230583792138976,0,2,3
0.4,boundary_constrained,linear,SKS03,4,5,-0.012787193312970678,-0.02495048461302363,0.006994323355628723,3,0,2
0.4,boundary_constrained,pchip,SKS02,2,5,0.03051730797734541,-0.0010423856916805044,0.05818954810598108,0,1,4
0.4,boundary_constrained,pchip,SKS02,3,5,0.0037611939789736013,-0.001404109432160995,0.01931541387688311,0,3,2
0.4,boundary_constrained,pchip,SKS02,4,5,0.0054249553382951475,0.003992105208474386,0.02156776414832168,0,1,4
0.4,boundary_constrained,pchip,SKS03,2,5,0.03051730797734541,-0.0010423856916805044,0.05818954810598108,0,1,4
0.4,boundary_constrained,pchip,SKS03,3,5,0.0037611939789736013,-0.001404109432160995,0.01931541387688311,0,3,2
0.4,boundary_constrained,pchip,SKS03,4,5,-0.006993379649240284,-0.010950433355363356,0.006643162521698319,3,0,2
0.4,original,linear,SKS02,2,5,0.15059836032191626,0.11164293207632721,0.18490493563494975,0,0,5
0.4,original,linear,SKS02,3,5,0.02721118089366326,0.005501328168611135,0.04152287201941072,0,0,5
0.4,original,linear,SKS02,4,5,0.006405218139529829,-0.013849830155273909,0.014643607826217129,1,1,3
0.4,original,linear,SKS03,2,5,0.02633944572507569,0.006763063235201691,0.0860600421595422,0,0,5
0.4,original,linear,SKS03,3,5,0.007543216914388442,-0.0030955995618191547,0.051230583792138976,0,2,3
0.4,original,linear,SKS03,4,5,-0.012787193312970678,-0.02495048461302363,0.006994323355628723,3,0,2
0.4,original,pchip,SKS02,2,5,0.15934043590282249,0.13962582488749936,0.20599045927129356,0,0,5
0.4,original,pchip,SKS02,3,5,0.0364595797796256,0.011963428741001647,0.06345932008868027,0,0,5
0.4,original,pchip,SKS02,4,5,0.0054249553382951475,0.003992105208474386,0.02156776414832168,0,1,4
0.4,original,pchip,SKS03,2,5,0.030589349907075764,0.023043188757881618,0.10389773918686196,0,0,5
0.4,original,pchip,SKS03,3,5,0.0037611939789736013,-0.001404109432160995,0.01931541387688311,0,3,2
0.4,original,pchip,SKS03,4,5,-0.006993379649240284,-0.010950433355363356,0.006643162521698319,3,0,2
