source,case,depth,depth_unit,load_unit,load,digitisation_replicates,digitisation_range,quality_class,normalised_depth,figure_image,physical_depth,digitisation_kind,marker_colour,digitised_pixel_x_sd,digitised_pixels
Kevan (2017) BYU thesis,Turrell H-pile post-blast,0.0,ft,kips,117.77483419562539,2.0,2.0946930217926933,primary field trace,0.0,,,,,,
Kevan (2017) BYU thesis,Turrell H-pile post-blast,16.0,ft,kips,147.28000862258662,2.0,0.0480413628853853,primary field trace,0.18823529411764706,,,,,,
Kevan (2017) BYU thesis,Turrell H-pile post-blast,25.0,ft,kips,156.23412269195586,2.0,0.10621062365683542,primary field trace,0.29411764705882354,,,,,,
Kevan (2017) BYU thesis,Turrell H-pile post-blast,32.0,ft,kips,159.19739158970035,2.0,0.07230992649840573,primary field trace,0.3764705882352941,,,,,,
Kevan (2017) BYU thesis,Turrell H-pile post-blast,36.0,ft,kips,159.8333534794732,2.0,0.03182175486475103,primary field trace,0.4235294117647059,,,,,,
Kevan (2017) BYU thesis,Turrell H-pile post-blast,55.0,ft,kips,173.1153434835678,2.0,0.12176417471766854,primary field trace,0.6470588235294118,,,,,,
Kevan (2017) BYU thesis,Turrell H-pile post-blast,62.0,ft,kips,159.05902272054664,2.0,0.39494367675806075,primary field trace,0.7294117647058823,,,,,,
Kevan (2017) BYU thesis,Turrell H-pile post-blast,72.0,ft,kips,112.11445713482465,2.0,2.231861948352318,primary field trace,0.8470588235294118,,,,,,
Kevan (2017) BYU thesis,Turrell H-pile post-blast,85.0,ft,kips,63.77933220297435,2.0,0.8988294081198234,primary field trace,1.0,,,,,,
Kevan (2017) BYU thesis,Turrell concrete pile post-blast,0.0,ft,kips,116.94390266864715,2.0,0.5076796418482274,qualified sensitivity,0.0,,,,,,
Kevan (2017) BYU thesis,Turrell concrete pile post-blast,4.0,ft,kips,119.54173048016108,2.0,0.18594543237186656,qualified sensitivity,0.05555555555555555,,,,,,
Kevan (2017) BYU thesis,Turrell concrete pile post-blast,12.0,ft,kips,123.7947133224844,2.0,0.5089505239688066,qualified sensitivity,0.16666666666666666,,,,,,
Kevan (2017) BYU thesis,Turrell concrete pile post-blast,20.0,ft,kips,127.42069088777976,2.0,0.40277288493757624,qualified sensitivity,0.2777777777777778,,,,,,
Kevan (2017) BYU thesis,Turrell concrete pile post-blast,28.0,ft,kips,127.61079883275349,2.0,0.5396464225853634,qualified sensitivity,0.3888888888888889,,,,,,
Kevan (2017) BYU thesis,Turrell concrete pile post-blast,36.0,ft,kips,143.83109725055152,2.0,0.34170525429178156,qualified sensitivity,0.5,,,,,,
Kevan (2017) BYU thesis,Turrell concrete pile post-blast,52.0,ft,kips,157.65333155446254,2.0,0.35438315134297227,qualified sensitivity,0.7222222222222222,,,,,,
Kevan (2017) BYU thesis,Turrell concrete pile post-blast,60.0,ft,kips,170.1273871227361,2.0,0.02713280428525877,qualified sensitivity,0.8333333333333334,,,,,,
Kevan (2017) BYU thesis,Turrell concrete pile post-blast,68.0,ft,kips,147.30992788324716,2.0,0.04162283272748368,qualified sensitivity,0.9444444444444444,,,,,,
Kevan (2017) BYU thesis,Turrell concrete pile post-blast,72.0,ft,kips,114.44239177327736,2.0,0.826879628143459,qualified sensitivity,1.0,,,,,,
