case,layout_source,additional_stations_b,outside_reference_fraction,candidate_outside_sse_fraction,delta_squared_error_inside,delta_squared_error_outside,delta_nrmse
Turrell H-pile post-blast,SKS02,2,0.4444444444444444,0.998765423376567,-0.0007577112479049045,0.022563830603880706,0.06141881910668606
Turrell H-pile post-blast,SKS03,2,0.2222222222222222,0.9647853908785406,-0.018090535636983814,0.0398925293303998,0.061408912332121396
Turrell H-pile post-blast,SKS02,3,0.1111111111111111,0.850152399823949,0.0009197115905560048,0.008661877907787975,0.07630073840283266
Turrell H-pile post-blast,SKS03,3,0.0,0.0,0.02018856642229733,0.0,0.1195688326383422
Turrell H-pile post-blast,SKS02,4,0.0,0.0,0.0006124786908456496,0.0,0.00883676642185052
Turrell H-pile post-blast,SKS03,4,0.0,0.0,-0.0004191728851369852,0.0,-0.007986172122332706
Turrell pipe pile post-blast,SKS02,2,0.42857142857142855,0.9703537040319489,-0.0003921819536953289,0.0016183716187057942,0.005624614710911455
Turrell pipe pile post-blast,SKS03,2,0.2857142857142857,0.9179158111109085,-0.001435051554551136,0.004738839351304902,0.014558125635486224
Turrell pipe pile post-blast,SKS02,3,0.14285714285714285,0.9418340541156575,-0.0030442019463370836,0.019378690738103752,0.078318649595943
Turrell pipe pile post-blast,SKS03,3,0.0,0.0,0.00664309637488391,0.0,0.03920392830837212
Turrell pipe pile post-blast,SKS02,4,0.0,0.0,0.0010043847603242982,0.0,0.020723578473772673
Turrell pipe pile post-blast,SKS03,4,0.0,0.0,0.0003358268428572042,0.0,0.009112243611823431
Christchurch 12-m CFA pile post-blast,SKS02,2,0.5643564356435643,0.9788148018639629,-0.00024088817992298474,0.014344652727896704,0.08885951801834312
Christchurch 12-m CFA pile post-blast,SKS03,2,0.2871287128712871,0.930701849932369,-0.0004362539366645976,0.005308963085983885,0.04312640315110683
Christchurch 12-m CFA pile post-blast,SKS02,3,0.13861386138613863,0.6860366289884549,0.00016439272227044584,0.0009173392837873741,0.020399258909909086
Christchurch 12-m CFA pile post-blast,SKS03,3,0.0,0.0,0.001338036728377668,0.0,0.02373803628598369
Christchurch 12-m CFA pile post-blast,SKS02,4,0.0,0.0,0.0002246410076354933,0.0,0.006417491180135966
Christchurch 12-m CFA pile post-blast,SKS03,4,0.0,0.0,0.0003420381708321768,0.0,0.00908046674204106
Christchurch 14-m CFA pile post-blast,SKS02,2,0.5643564356435643,0.9836279705064513,-7.49662934353808e-06,0.04325253082251474,0.17314182859051636
Christchurch 14-m CFA pile post-blast,SKS03,2,0.2871287128712871,0.9214066632088124,-6.482413183990344e-05,0.013375619036065123,0.08325504169792747
Christchurch 14-m CFA pile post-blast,SKS02,3,0.13861386138613863,0.5533659259811212,0.0002462460685438612,0.00144140121831439,0.020740789989558427
Christchurch 14-m CFA pile post-blast,SKS03,3,0.0,0.0,0.0023845391507478432,0.0,0.027161953309392795
Christchurch 14-m CFA pile post-blast,SKS02,4,0.0,0.0,0.00015724945320741781,0.0,0.0023867776911973976
Christchurch 14-m CFA pile post-blast,SKS03,4,0.0,0.0,-0.000131677337561027,0.0,-0.0021463128306605413
