case,layout_source,additional_stations_b,pixel_scenario,draws,seed,nominal_delta_nrmse,min_delta_nrmse,max_delta_nrmse,median_delta_nrmse,draws_lower,draws_equivalent,draws_higher,draws_same_class,draws_changed_mapping,load_bound_max,normalised_depth_bound
Turrell H-pile post-blast,SKS02,2,1,2000,20260827,0.06141881910668609,0.05790059583776119,0.0648768065214814,0.06147255777635974,0,0,2000,2000,0,1.115930974176159,0.0
Turrell H-pile post-blast,SKS03,2,1,2000,20260827,0.061408912332121424,0.058446113551007484,0.06408391861259119,0.06144613925308183,0,0,2000,2000,0,1.115930974176159,0.0
Turrell H-pile post-blast,SKS02,3,1,2000,20260827,0.07630073840283266,0.07222863175701552,0.07988905644635852,0.07620041706223649,0,0,2000,2000,0,1.115930974176159,0.0
Turrell H-pile post-blast,SKS03,3,1,2000,20260827,0.1195688326383422,0.11749688440702787,0.1212751387488404,0.11950558133663257,0,0,2000,2000,0,1.115930974176159,0.0
Turrell H-pile post-blast,SKS02,4,1,2000,20260827,0.00883676642185052,0.006456044828075075,0.011180182066168737,0.008779752816689364,0,0,2000,2000,0,1.115930974176159,0.0
Turrell H-pile post-blast,SKS03,4,1,2000,20260827,-0.007986172122332703,-0.010511662343043411,-0.0057844688680015015,-0.007989403361385995,2000,0,0,2000,0,1.115930974176159,0.0
Turrell H-pile post-blast,SKS02,2,2,2000,20260827,0.06141881910668609,0.05609248359710706,0.06664077648232294,0.06144698874297,0,0,2000,2000,0,1.115930974176159,0.0
Turrell H-pile post-blast,SKS03,2,2,2000,20260827,0.061408912332121424,0.05711379358164345,0.06516120277563098,0.061459791814359885,0,0,2000,2000,0,1.115930974176159,0.0
Turrell H-pile post-blast,SKS02,3,2,2000,20260827,0.07630073840283266,0.0703422293936404,0.08159056137253898,0.0761681253393676,0,0,2000,2000,0,1.115930974176159,0.0
Turrell H-pile post-blast,SKS03,3,2,2000,20260827,0.1195688326383422,0.11615631792910597,0.12237232892398471,0.11947081445838938,0,0,2000,2000,0,1.115930974176159,0.0
Turrell H-pile post-blast,SKS02,4,2,2000,20260827,0.00883676642185052,0.004969745736753094,0.012975076521364148,0.008775825213840181,0,1,1999,1999,0,1.115930974176159,0.0
Turrell H-pile post-blast,SKS03,4,2,2000,20260827,-0.007986172122332703,-0.012561220646557816,-0.003711640015785767,-0.007962681979749642,1930,70,0,1930,0,1.115930974176159,0.0
Turrell H-pile post-blast,SKS02,2,4,2000,20260827,0.06141881910668609,0.05209833385371504,0.07108042805892462,0.06151565402500145,0,0,2000,2000,0,1.358695652173913,0.0
Turrell H-pile post-blast,SKS03,2,4,2000,20260827,0.061408912332121424,0.054069297916103126,0.06824865936523142,0.061453645815481545,0,0,2000,2000,0,1.358695652173913,0.0
Turrell H-pile post-blast,SKS02,3,4,2000,20260827,0.07630073840283266,0.06586998174513986,0.0855031928686282,0.07604015351271222,0,0,2000,2000,0,1.358695652173913,0.0
Turrell H-pile post-blast,SKS03,3,4,2000,20260827,0.1195688326383422,0.11289031220967785,0.12489676968865712,0.11928456905116741,0,0,2000,2000,0,1.358695652173913,0.0
Turrell H-pile post-blast,SKS02,4,4,2000,20260827,0.00883676642185052,0.0015354341785943394,0.016645345070506464,0.008718620912943922,0,133,1867,1867,0,1.358695652173913,0.0
Turrell H-pile post-blast,SKS03,4,4,2000,20260827,-0.007986172122332703,-0.01663994923847817,0.000925614195859039,-0.007897760377977703,1600,400,0,1600,0,1.358695652173913,0.0
