case,evidence_class,layout_family,interpolator,layout_source,additional_stations_b,total_retained_stations,candidate_requested_depths,candidate_realised_depths,candidate_unique_levels,uniform_requested_depths,uniform_realised_depths,uniform_unique_levels,candidate_nrmse,uniform_nrmse,delta_nrmse,candidate_retains_deepest_level
Christchurch 12-m CFA pile post-blast,published CFA trace,original,linear,SKS02,2,3,0.000;0.143;0.429,0.000;0.140;0.430,3,0.000;0.500;1.000,0.000;0.500;1.000,3,0.12378965687099826,0.034930138852655127,0.08885951801834313,0
Christchurch 12-m CFA pile post-blast,published CFA trace,original,pchip,SKS02,2,3,0.000;0.143;0.429,0.000;0.140;0.430,3,0.000;0.500;1.000,0.000;0.500;1.000,3,0.12365750335565602,0.03406561700460794,0.08959188635104809,0
Christchurch 12-m CFA pile post-blast,published CFA trace,boundary_constrained,linear,SKS02,2,3,0.000;0.143;1.000,0.000;0.140;1.000,3,0.000;0.500;1.000,0.000;0.500;1.000,3,0.05003907300450355,0.034930138852655127,0.01510893415184842,1
Christchurch 12-m CFA pile post-blast,published CFA trace,boundary_constrained,pchip,SKS02,2,3,0.000;0.143;1.000,0.000;0.140;1.000,3,0.000;0.500;1.000,0.000;0.500;1.000,3,0.04773239823047827,0.03406561700460794,0.013666781225870332,1
Christchurch 12-m CFA pile post-blast,published CFA trace,original,linear,SKS03,2,3,0.000;0.143;0.714,0.000;0.140;0.710,3,0.000;0.500;1.000,0.000;0.500;1.000,3,0.07805654200376196,0.034930138852655127,0.04312640315110683,0
Christchurch 12-m CFA pile post-blast,published CFA trace,original,pchip,SKS03,2,3,0.000;0.143;0.714,0.000;0.140;0.710,3,0.000;0.500;1.000,0.000;0.500;1.000,3,0.07762176879653776,0.03406561700460794,0.04355615179192982,0
Christchurch 12-m CFA pile post-blast,published CFA trace,boundary_constrained,linear,SKS03,2,3,0.000;0.143;1.000,0.000;0.140;1.000,3,0.000;0.500;1.000,0.000;0.500;1.000,3,0.05003907300450355,0.034930138852655127,0.01510893415184842,1
Christchurch 12-m CFA pile post-blast,published CFA trace,boundary_constrained,pchip,SKS03,2,3,0.000;0.143;1.000,0.000;0.140;1.000,3,0.000;0.500;1.000,0.000;0.500;1.000,3,0.04773239823047827,0.03406561700460794,0.013666781225870332,1
Christchurch 12-m CFA pile post-blast,published CFA trace,original,linear,SKS02,3,4,0.000;0.143;0.714;0.857,0.000;0.140;0.710;0.860,4,0.000;0.333;0.667;1.000,0.000;0.330;0.670;1.000,4,0.03671363201836044,0.01631437310845136,0.020399258909909082,0
Christchurch 12-m CFA pile post-blast,published CFA trace,original,pchip,SKS02,3,4,0.000;0.143;0.714;0.857,0.000;0.140;0.710;0.860,4,0.000;0.333;0.667;1.000,0.000;0.330;0.670;1.000,4,0.03688190612608878,0.015571172197912599,0.02131073392817618,0
