case,evidence_class,budget_additional_stations,layout_source,candidate_realised_depths,uniform_realised_depths,delta_nrmse,delta_peak_load_relative_error,delta_peak_depth_error_normalised,comparison_class,claim_role
Turrell H-pile post-blast,primary field trace,2,SKS02,0.000;0.188;0.424,0.000;0.424;1.000,0.06141881910668609,0.0,0.0,candidate higher error,primary external field check
Turrell H-pile post-blast,primary field trace,2,SKS03,0.000;0.188;0.729,0.000;0.424;1.000,0.061408912332121424,0.004472918132759657,-0.1411764705882353,candidate higher error,primary external field check
Turrell H-pile post-blast,primary field trace,3,SKS02,0.000;0.188;0.729;0.847,0.000;0.294;0.647;1.000,0.07630073840283261,0.08119627342191889,0.08235294117647059,candidate higher error,primary external field check
Turrell H-pile post-blast,primary field trace,3,SKS03,0.000;0.188;0.424;1.000,0.000;0.294;0.647;1.000,0.11956883263834214,0.07672335528915923,0.2235294117647059,candidate higher error,primary external field check
Turrell H-pile post-blast,primary field trace,4,SKS02,0.000;0.188;0.729;0.847;1.000,0.000;0.294;0.424;0.729;1.000,0.00883676642185052,0.004472918132759657,-0.1411764705882353,candidate higher error,primary external field check
Turrell H-pile post-blast,primary field trace,4,SKS03,0.000;0.188;0.647;0.847;1.000,0.000;0.294;0.424;0.729;1.000,-0.00798617212233265,-0.07672335528915923,-0.2235294117647059,candidate lower error,primary external field check
Turrell concrete pile post-blast,qualified sensitivity,2,SKS02,0.000;0.167;0.389,0.000;0.500;1.000,-0.004539044317406468,0.09534207685265944,0.1111111111111111,practically indistinguishable (|delta| <= 0.005),sensitivity only
Turrell concrete pile post-blast,qualified sensitivity,2,SKS03,0.000;0.167;0.722,0.000;0.500;1.000,-0.027233639786317626,-0.08124637977270027,-0.2222222222222222,candidate lower error,sensitivity only
Turrell concrete pile post-blast,qualified sensitivity,3,SKS02,0.000;0.167;0.722;0.833,0.000;0.278;0.722;1.000,0.04078178641367805,-0.0733218547538988,-0.1111111111111111,candidate higher error,sensitivity only
Turrell concrete pile post-blast,qualified sensitivity,3,SKS03,0.000;0.167;0.389;1.000,0.000;0.278;0.722;1.000,0.06456605394509023,0.1765884566253597,0.3333333333333333,candidate higher error,sensitivity only
Turrell concrete pile post-blast,qualified sensitivity,4,SKS02,0.000;0.167;0.722;0.833;1.000,0.000;0.278;0.500;0.722;1.000,-0.04018535073731097,-0.0733218547538988,-0.1111111111111111,candidate lower error,sensitivity only
Turrell concrete pile post-blast,qualified sensitivity,4,SKS03,0.000;0.167;0.500;0.833;1.000,0.000;0.278;0.500;0.722;1.000,-0.03968617606878542,-0.0733218547538988,-0.1111111111111111,candidate lower error,sensitivity only
Turrell pipe pile post-blast,primary field trace,2,SKS02,0.000;0.053;0.526,0.000;0.526;1.000,0.005624614710911469,0.0,0.0,candidate higher error,primary external field check
Turrell pipe pile post-blast,primary field trace,2,SKS03,0.000;0.053;0.684,0.000;0.526;1.000,0.014558125635486238,-0.022642585153550207,-0.15789473684210525,candidate higher error,primary external field check
Turrell pipe pile post-blast,primary field trace,3,SKS02,0.000;0.053;0.684;0.789,0.000;0.263;0.684;1.000,0.078318649595943,-0.07044946453338079,-0.10526315789473684,candidate higher error,primary external field check
Turrell pipe pile post-blast,primary field trace,3,SKS03,0.000;0.053;0.526;1.000,0.000;0.263;0.684;1.000,0.039203928308372105,0.022642585153550207,0.15789473684210525,candidate higher error,primary external field check
Turrell pipe pile post-blast,primary field trace,4,SKS02,0.000;0.053;0.684;0.789;1.000,0.000;0.263;0.526;0.789;1.000,0.020723578473772673,0.0,0.0,candidate higher error,primary external field check
Turrell pipe pile post-blast,primary field trace,4,SKS03,0.000;0.053;0.526;0.789;1.000,0.000;0.263;0.526;0.789;1.000,0.00911224361182343,0.0,0.0,candidate higher error,primary external field check
Christchurch 12-m CFA pile post-blast,published field-trace sensitivity,2,SKS02,0.000;0.140;0.430,0.000;0.500;1.000,0.08885951801834313,0.0,0.0,candidate higher error,secondary trace-level field check
Christchurch 12-m CFA pile post-blast,published field-trace sensitivity,2,SKS03,0.000;0.140;0.710,0.000;0.500;1.000,0.04312640315110683,0.0,0.0,candidate higher error,secondary trace-level field check
Christchurch 12-m CFA pile post-blast,published field-trace sensitivity,3,SKS02,0.000;0.140;0.710;0.860,0.000;0.330;0.670;1.000,0.020399258909909082,0.0,0.0,candidate higher error,secondary trace-level field check
Christchurch 12-m CFA pile post-blast,published field-trace sensitivity,3,SKS03,0.000;0.140;0.430;1.000,0.000;0.330;0.670;1.000,0.023738036285983692,0.0,0.0,candidate higher error,secondary trace-level field check
Christchurch 12-m CFA pile post-blast,published field-trace sensitivity,4,SKS02,0.000;0.140;0.710;0.860;1.000,0.000;0.250;0.500;0.750;1.000,0.0064174911801359695,0.0,0.0,candidate higher error,secondary trace-level field check
Christchurch 12-m CFA pile post-blast,published field-trace sensitivity,4,SKS03,0.000;0.140;0.570;0.860;1.000,0.000;0.250;0.500;0.750;1.000,0.00908046674204106,0.0,0.0,candidate higher error,secondary trace-level field check
Christchurch 14-m CFA pile post-blast,published field-trace sensitivity,2,SKS02,0.000;0.140;0.430,0.000;0.500;1.000,0.17314182859051636,0.0,0.0,candidate higher error,secondary trace-level field check
Christchurch 14-m CFA pile post-blast,published field-trace sensitivity,2,SKS03,0.000;0.140;0.710,0.000;0.500;1.000,0.0832550416979275,0.0,0.0,candidate higher error,secondary trace-level field check
Christchurch 14-m CFA pile post-blast,published field-trace sensitivity,3,SKS02,0.000;0.140;0.710;0.860,0.000;0.330;0.670;1.000,0.020740789989558427,0.0,0.0,candidate higher error,secondary trace-level field check
Christchurch 14-m CFA pile post-blast,published field-trace sensitivity,3,SKS03,0.000;0.140;0.430;1.000,0.000;0.330;0.670;1.000,0.027161953309392788,0.0,0.0,candidate higher error,secondary trace-level field check
Christchurch 14-m CFA pile post-blast,published field-trace sensitivity,4,SKS02,0.000;0.140;0.710;0.860;1.000,0.000;0.250;0.500;0.750;1.000,0.0023867776911973976,0.0,0.0,practically indistinguishable (|delta| <= 0.005),secondary trace-level field check
Christchurch 14-m CFA pile post-blast,published field-trace sensitivity,4,SKS03,0.000;0.140;0.570;0.860;1.000,0.000;0.250;0.500;0.750;1.000,-0.0021463128306605447,0.0,0.0,practically indistinguishable (|delta| <= 0.005),secondary trace-level field check
"MS09 bored pile, Leg 1, 2500 s after shaking",resolution-limited centrifuge sensitivity,2,SKS02,0.000;0.256;0.523,0.000;0.523;1.000,0.030972296519404374,0.10632819769023485,1.0,candidate higher error,sensitivity only
"MS09 bored pile, Leg 1, 2500 s after shaking",resolution-limited centrifuge sensitivity,2,SKS03,0.000;0.256;0.779,0.000;0.523;1.000,0.021698792710511106,0.0979342011814951,0.22093023255813948,candidate higher error,sensitivity only
"MS09 bored pile, Leg 1, 2500 s after shaking",resolution-limited centrifuge sensitivity,3,SKS03,0.000;0.256;0.523;1.000,0.000;0.256;0.779;1.000,0.018998155820197135,0.0,0.0,candidate higher error,sensitivity only
"MS09 bored pile, Leg 1, 2500 s after shaking",resolution-limited centrifuge sensitivity,4,SKS03,0.000;0.256;0.523;0.779;1.000,0.000;0.256;0.523;0.779;1.000,0.0,0.0,0.0,practically indistinguishable (|delta| <= 0.005),sensitivity only
