test,event,eta,shaking_start_s,shaking_end_s,pressure_reference_peak,decay_boundary_s,boundary_preceding_interval_s,pressure_end_s,pressure_channels,flat_channels_excluded,overlap_rows_removed,missing_pressure_cells,rows_below_80_percent_coverage,status
SKS02,EQM_1,0.25,1.214948242210276,14.977792490080045,0.01670712533333333,,,43170.9222,10,0,1,0,0,weak pressure response or no sustained crossing
SKS02,EQM_1,0.5,1.214948242210276,14.977792490080045,0.01670712533333333,,,43170.9222,10,0,1,0,0,weak pressure response or no sustained crossing
SKS02,EQM_1,0.75,1.214948242210276,14.977792490080045,0.01670712533333333,,,43170.9222,10,0,1,0,0,weak pressure response or no sustained crossing
SKS02,EQM_2,0.25,2.721187645270318,13.387322285084164,0.6813790799999998,3331.9692,39.883200000000215,43173.141,10,0,1,630,0,available
SKS02,EQM_2,0.5,2.721187645270318,13.387322285084164,0.6813790799999998,692.376,0.007799999999974716,43173.141,10,0,1,630,0,available
SKS02,EQM_2,0.75,2.721187645270318,13.387322285084164,0.6813790799999998,206.4078,0.007800000000003138,43173.141,10,0,1,630,0,available
SKS02,EQM_3,0.25,2.0209635831406447,12.111224113822392,0.99873104,1615.6560000000002,0.007800000000088403,43152.825,10,0,1,630,0,available
SKS02,EQM_3,0.5,2.0209635831406447,12.111224113822392,0.99873104,552.2081999999999,0.00839999999993779,43152.825,10,0,1,630,0,available
SKS02,EQM_3,0.75,2.0209635831406447,12.111224113822392,0.99873104,81.408,0.007800000000003138,43152.825,10,0,1,630,0,available
SKS02,EQM_4,0.25,2.5307524161660755,13.185691277081746,0.4390677920000001,3241.2203999999997,40.000199999999495,43162.4214,9,1,1,0,0,available
SKS02,EQM_4,0.5,2.5307524161660755,13.185691277081746,0.4390677920000001,1961.6208000000001,39.883200000000215,43162.4214,9,1,1,0,0,available
SKS02,EQM_4,0.75,2.5307524161660755,13.185691277081746,0.4390677920000001,1201.2204000000002,40.07820000000015,43162.4214,9,1,1,0,0,available
SKS02,EQM_5,0.25,4.514051337377206,14.93633132139194,0.9646907760000001,1681.9109999999998,40.00019999999995,43163.4738,10,0,1,0,0,available
SKS02,EQM_5,0.5,4.514051337377206,14.93633132139194,0.9646907760000001,681.8718,39.9606,43163.4738,10,0,1,0,0,available
SKS02,EQM_5,0.75,4.514051337377206,14.93633132139194,0.9646907760000001,84.552,0.007800000000003138,43163.4738,10,0,1,0,0,available
SKS02,EQM_6,0.25,3.5213505404152308,56.27274030729212,0.9655903466666667,601.269,39.9606,43162.5192,9,1,1,0,0,available
SKS02,EQM_6,0.5,3.5213505404152308,56.27274030729212,0.9655903466666667,292.6482,0.008399999999994634,43162.5192,9,1,1,0,0,available
SKS02,EQM_6,0.75,3.5213505404152308,56.27274030729212,0.9655903466666667,100.6638,0.007799999999988927,43162.5192,9,1,1,0,0,available
SKS03,EQM_1,0.25,5.203853053614355,15.90531250499688,1.0486421333333333,564.45,40.03920000000005,32365.719600000004,11,0,2,0,0,available
SKS03,EQM_1,0.5,5.203853053614355,15.90531250499688,1.0486421333333333,229.0158,0.007800000000003138,32365.719600000004,11,0,2,0,0,available
SKS03,EQM_1,0.75,5.203853053614355,15.90531250499688,1.0486421333333333,58.9842,0.00840000000000174,32365.719600000004,11,0,2,0,0,available
SKS03,EQM_2,0.25,5.063921755677963,15.767477272668005,1.0751217866666667,964.1778,39.92160000000001,32364.900600000004,11,0,2,0,0,available
SKS03,EQM_2,0.5,5.063921755677963,15.767477272668005,1.0751217866666667,564.2562,40.03920000000005,32364.900600000004,11,0,2,0,0,available
SKS03,EQM_2,0.75,5.063921755677963,15.767477272668005,1.0751217866666667,139.1838,0.007800000000003138,32364.900600000004,11,0,2,0,0,available
SKS03,EQM_3,0.25,4.6859508968944885,15.405098612788036,1.1300272266666667,1343.4012,39.922199999999975,32344.3968,11,0,2,0,0,available
SKS03,EQM_3,0.5,4.6859508968944885,15.405098612788036,1.1300272266666667,823.401,39.96119999999996,32344.3968,11,0,2,0,0,available
SKS03,EQM_3,0.75,4.6859508968944885,15.405098612788036,1.1300272266666667,383.4012,40.00020000000001,32344.3968,11,0,2,0,0,available
SKS03,EQM_4,0.25,5.414373079475499,60.057111650998,1.2049845866666666,4144.7483999999995,40.000199999999495,32345.4516,11,0,2,0,0,available
SKS03,EQM_4,0.5,5.414373079475499,60.057111650998,1.2049845866666666,1185.8808,41.366999999999734,32345.4516,11,0,2,0,0,available
SKS03,EQM_4,0.75,5.414373079475499,60.057111650998,1.2049845866666666,424.5528,39.88259999999997,32345.4516,11,0,2,0,0,available
SKS03,EQM_5,0.25,5.67832504061841,67.82282957963878,1.44241448,8223.9348,39.84360000000015,32344.599,11,0,2,0,0,available
SKS03,EQM_5,0.5,5.67832504061841,67.82282957963878,1.44241448,1183.935,40.00019999999995,32344.599,11,0,2,0,0,available
SKS03,EQM_5,0.75,5.67832504061841,67.82282957963878,1.44241448,423.8958,40.03860000000003,32344.599,11,0,2,0,0,available
