test,source,event,smoothed,eta,sampling_cap,phase,policy,additional_stations_b,metric,candidate,uniform,delta,piles
SKS02,SKS03,EQM_1,0,0.25,120,shaking,boundary_retained,2,peak_depth_error,0.42857142857142855,0.2142857142857143,0.21428571428571425,2
SKS02,SKS03,EQM_1,0,0.25,120,shaking,boundary_retained,2,peak_load_error,0.3379051606871863,0.38936878560744015,-0.051463624920253845,2
SKS02,SKS03,EQM_1,0,0.25,120,shaking,boundary_retained,2,profile_nrmse,0.21305075619107905,0.21529807897035522,-0.0022473227792761535,2
SKS02,SKS03,EQM_1,0,0.25,120,shaking,boundary_retained,3,peak_depth_error,0.42857142857142855,0.35714285714285715,0.0714285714285714,2
SKS02,SKS03,EQM_1,0,0.25,120,shaking,boundary_retained,3,peak_load_error,0.3379051606871863,0.3008368898567324,0.0370682708304539,2
SKS02,SKS03,EQM_1,0,0.25,120,shaking,boundary_retained,3,profile_nrmse,0.19937478373668094,0.2005116603485552,-0.0011368766118742407,2
SKS02,SKS03,EQM_1,0,0.25,120,shaking,boundary_retained,4,peak_depth_error,0.0,0.35714285714285715,-0.35714285714285715,2
SKS02,SKS03,EQM_1,0,0.25,120,shaking,boundary_retained,4,peak_load_error,0.0,0.3008368898567324,-0.3008368898567324,2
SKS02,SKS03,EQM_1,0,0.25,120,shaking,boundary_retained,4,profile_nrmse,0.1472720923140188,0.1901791952982932,-0.04290710298427439,2
SKS02,SKS03,EQM_1,0,0.25,120,shaking,original,2,peak_depth_error,0.42857142857142855,0.2142857142857143,0.21428571428571425,2
SKS02,SKS03,EQM_1,0,0.25,120,shaking,original,2,peak_load_error,0.2658347557189136,0.38936878560744015,-0.12353402988852659,2
SKS02,SKS03,EQM_1,0,0.25,120,shaking,original,2,profile_nrmse,0.2563017205042754,0.21529807897035522,0.04100364153392021,2
SKS02,SKS03,EQM_1,0,0.25,120,shaking,original,3,peak_depth_error,0.42857142857142855,0.35714285714285715,0.0714285714285714,2
SKS02,SKS03,EQM_1,0,0.25,120,shaking,original,3,peak_load_error,0.3379051606871863,0.3008368898567324,0.0370682708304539,2
SKS02,SKS03,EQM_1,0,0.25,120,shaking,original,3,profile_nrmse,0.19937478373668094,0.2005116603485552,-0.0011368766118742407,2
SKS02,SKS03,EQM_1,0,0.25,120,shaking,original,4,peak_depth_error,0.0,0.35714285714285715,-0.35714285714285715,2
SKS02,SKS03,EQM_1,0,0.25,120,shaking,original,4,peak_load_error,0.0,0.3008368898567324,-0.3008368898567324,2
SKS02,SKS03,EQM_1,0,0.25,120,shaking,original,4,profile_nrmse,0.1472720923140188,0.1901791952982932,-0.04290710298427439,2
SKS02,SKS03,EQM_1,0,0.25,240,shaking,boundary_retained,2,peak_depth_error,0.42857142857142855,0.2142857142857143,0.21428571428571425,2
SKS02,SKS03,EQM_1,0,0.25,240,shaking,boundary_retained,2,peak_load_error,0.33933800813469994,0.3892572028652118,-0.0499191947305119,2
SKS02,SKS03,EQM_1,0,0.25,240,shaking,boundary_retained,2,profile_nrmse,0.21323031421385827,0.21547105285305224,-0.0022407386391939538,2
SKS02,SKS03,EQM_1,0,0.25,240,shaking,boundary_retained,3,peak_depth_error,0.42857142857142855,0.35714285714285715,0.0714285714285714,2
SKS02,SKS03,EQM_1,0,0.25,240,shaking,boundary_retained,3,peak_load_error,0.33933800813469994,0.3008503712994198,0.03848763683528014,2
SKS02,SKS03,EQM_1,0,0.25,240,shaking,boundary_retained,3,profile_nrmse,0.1995174440769749,0.200472983542616,-0.0009555394656411004,2
SKS02,SKS03,EQM_1,0,0.25,240,shaking,boundary_retained,4,peak_depth_error,0.0,0.35714285714285715,-0.35714285714285715,2
SKS02,SKS03,EQM_1,0,0.25,240,shaking,boundary_retained,4,peak_load_error,0.0,0.3008503712994198,-0.3008503712994198,2
SKS02,SKS03,EQM_1,0,0.25,240,shaking,boundary_retained,4,profile_nrmse,0.14738523434674666,0.1903865747876086,-0.04300134044086192,2
SKS02,SKS03,EQM_1,0,0.25,240,shaking,original,2,peak_depth_error,0.42857142857142855,0.2142857142857143,0.21428571428571425,2
SKS02,SKS03,EQM_1,0,0.25,240,shaking,original,2,peak_load_error,0.2666499314977172,0.3892572028652118,-0.12260727136749464,2
SKS02,SKS03,EQM_1,0,0.25,240,shaking,original,2,profile_nrmse,0.25611101199832664,0.21547105285305224,0.040639959145274435,2
