test,event,pile,smoothed,eta,sampling_cap,phase,lower_s,upper_s,snapshots,max_nearest_offset_s,source_overlap_rows_removed
SKS02,EQM_1,1,0,0.25,120,shaking,1.214948242210276,14.977792490080045,120,0.00402857142857127,1
SKS02,EQM_1,1,0,0.25,240,shaking,1.214948242210276,14.977792490080045,240,0.00414225941422508,1
SKS02,EQM_1,1,0,0.5,120,shaking,1.214948242210276,14.977792490080045,120,0.00402857142857127,1
SKS02,EQM_1,1,0,0.5,240,shaking,1.214948242210276,14.977792490080045,240,0.00414225941422508,1
SKS02,EQM_1,1,0,0.75,120,shaking,1.214948242210276,14.977792490080045,120,0.00402857142857127,1
SKS02,EQM_1,1,0,0.75,240,shaking,1.214948242210276,14.977792490080045,240,0.00414225941422508,1
SKS02,EQM_1,1,1,0.25,120,shaking,4.214948242210276,11.977792490080045,120,0.004038655462184515,1
SKS02,EQM_1,1,1,0.25,240,shaking,4.214948242210276,11.977792490080045,240,0.004142259414225968,1
SKS02,EQM_1,1,1,0.5,120,shaking,4.214948242210276,11.977792490080045,120,0.004038655462184515,1
SKS02,EQM_1,1,1,0.5,240,shaking,4.214948242210276,11.977792490080045,240,0.004142259414225968,1
SKS02,EQM_1,1,1,0.75,120,shaking,4.214948242210276,11.977792490080045,120,0.004038655462184515,1
SKS02,EQM_1,1,1,0.75,240,shaking,4.214948242210276,11.977792490080045,240,0.004142259414225968,1
SKS02,EQM_1,2,0,0.25,120,shaking,1.214948242210276,14.977792490080045,120,0.00402857142857127,1
SKS02,EQM_1,2,0,0.25,240,shaking,1.214948242210276,14.977792490080045,240,0.00414225941422508,1
SKS02,EQM_1,2,0,0.5,120,shaking,1.214948242210276,14.977792490080045,120,0.00402857142857127,1
SKS02,EQM_1,2,0,0.5,240,shaking,1.214948242210276,14.977792490080045,240,0.00414225941422508,1
SKS02,EQM_1,2,0,0.75,120,shaking,1.214948242210276,14.977792490080045,120,0.00402857142857127,1
SKS02,EQM_1,2,0,0.75,240,shaking,1.214948242210276,14.977792490080045,240,0.00414225941422508,1
SKS02,EQM_1,2,1,0.25,120,shaking,2.714948242210276,13.477792490080045,120,0.004164705882354625,1
SKS02,EQM_1,2,1,0.25,240,shaking,2.714948242210276,13.477792490080045,240,0.004182426778243098,1
SKS02,EQM_1,2,1,0.5,120,shaking,2.714948242210276,13.477792490080045,120,0.004164705882354625,1
SKS02,EQM_1,2,1,0.5,240,shaking,2.714948242210276,13.477792490080045,240,0.004182426778243098,1
SKS02,EQM_1,2,1,0.75,120,shaking,2.714948242210276,13.477792490080045,120,0.004164705882354625,1
SKS02,EQM_1,2,1,0.75,240,shaking,2.714948242210276,13.477792490080045,240,0.004182426778243098,1
SKS02,EQM_2,1,0,0.25,120,shaking,2.721187645270318,13.387322285084164,120,0.004164705882353736,1
SKS02,EQM_2,1,0,0.25,120,before_decay,13.387322285084164,3331.9692,119,15.891206722688821,1
SKS02,EQM_2,1,0,0.25,120,after_decay,3331.9692,43173.141,120,19.995650420169113,1
SKS02,EQM_2,1,0,0.25,240,shaking,2.721187645270318,13.387322285084164,240,0.004182426778243098,1
SKS02,EQM_2,1,0,0.25,240,before_decay,13.387322285084164,3331.9692,237,15.657841004183865,1
SKS02,EQM_2,1,0,0.25,240,after_decay,3331.9692,43173.141,240,19.97980920502596,1
SKS02,EQM_2,1,0,0.5,120,shaking,2.721187645270318,13.387322285084164,120,0.004164705882353736,1
SKS02,EQM_2,1,0,0.5,120,before_decay,13.387322285084164,692.376,120,0.004099159663894625,1
SKS02,EQM_2,1,0,0.5,120,after_decay,692.376,43173.141,120,19.89358991597328,1
SKS02,EQM_2,1,0,0.5,240,shaking,2.721187645270318,13.387322285084164,240,0.004182426778243098,1
SKS02,EQM_2,1,0,0.5,240,before_decay,13.387322285084164,692.376,240,0.004149790795054287,1
SKS02,EQM_2,1,0,0.5,240,after_decay,692.376,43173.141,240,19.86464937238634,1
SKS02,EQM_2,1,0,0.75,120,shaking,2.721187645270318,13.387322285084164,120,0.004164705882353736,1
SKS02,EQM_2,1,0,0.75,120,before_decay,13.387322285084164,206.4078,120,0.004184873949583334,1
SKS02,EQM_2,1,0,0.75,120,after_decay,206.4078,43173.141,120,19.921487394960423,1
SKS02,EQM_2,1,0,0.75,240,shaking,2.721187645270318,13.387322285084164,240,0.004182426778243098,1
SKS02,EQM_2,1,0,0.75,240,before_decay,13.387322285084164,206.4078,240,0.004174895397490275,1
SKS02,EQM_2,1,0,0.75,240,after_decay,206.4078,43173.141,240,20.074719665270095,1
SKS02,EQM_2,1,1,0.25,120,shaking,5.721187645270318,10.387322285084164,120,0.004164705882353736,1
SKS02,EQM_2,1,1,0.25,120,before_decay,16.387322285084164,3328.9692,120,12.355759663865229,1
SKS02,EQM_2,1,1,0.25,120,after_decay,3334.9692,43173.141,120,19.77182521008217,1
SKS02,EQM_2,1,1,0.25,240,shaking,5.721187645270318,10.387322285084164,240,0.004182426778243098,1
SKS02,EQM_2,1,1,0.25,240,before_decay,16.387322285084164,3328.9692,239,13.70583263598337,1
SKS02,EQM_2,1,1,0.25,240,after_decay,3334.9692,43173.141,240,19.963619246864255,1
SKS02,EQM_2,1,1,0.5,120,shaking,5.721187645270318,10.387322285084164,120,0.004164705882353736,1
SKS02,EQM_2,1,1,0.5,120,before_decay,16.387322285084164,689.376,120,0.004099159663951468,1
SKS02,EQM_2,1,1,0.5,120,after_decay,695.376,43173.141,120,19.83179495798322,1
SKS02,EQM_2,1,1,0.5,240,shaking,5.721187645270318,10.387322285084164,240,0.004182426778243098,1
SKS02,EQM_2,1,1,0.5,240,before_decay,16.387322285084164,689.376,240,0.00414979079511113,1
SKS02,EQM_2,1,1,0.5,240,after_decay,695.376,43173.141,240,19.976128870290268,1
SKS02,EQM_2,1,1,0.75,120,shaking,5.721187645270318,10.387322285084164,120,0.004164705882353736,1
SKS02,EQM_2,1,1,0.75,120,before_decay,16.387322285084164,203.4078,120,0.00416974789914093,1
SKS02,EQM_2,1,1,0.75,120,after_decay,209.4078,43173.141,120,20.037554621848358,1
SKS02,EQM_2,1,1,0.75,240,shaking,5.721187645270318,10.387322285084164,240,0.004182426778243098,1
SKS02,EQM_2,1,1,0.75,240,before_decay,16.387322285084164,203.4078,240,0.004152301255231805,1
SKS02,EQM_2,1,1,0.75,240,after_decay,209.4078,43173.141,240,19.94166778242652,1
SKS02,EQM_2,2,0,0.25,120,shaking,2.721187645270318,13.387322285084164,120,0.004164705882353736,1
SKS02,EQM_2,2,0,0.25,120,before_decay,13.387322285084164,3331.9692,119,15.891206722688821,1
SKS02,EQM_2,2,0,0.25,120,after_decay,3331.9692,43173.141,120,19.995650420169113,1
SKS02,EQM_2,2,0,0.25,240,shaking,2.721187645270318,13.387322285084164,240,0.004182426778243098,1
SKS02,EQM_2,2,0,0.25,240,before_decay,13.387322285084164,3331.9692,237,15.657841004183865,1
SKS02,EQM_2,2,0,0.25,240,after_decay,3331.9692,43173.141,240,19.97980920502596,1
SKS02,EQM_2,2,0,0.5,120,shaking,2.721187645270318,13.387322285084164,120,0.004164705882353736,1
SKS02,EQM_2,2,0,0.5,120,before_decay,13.387322285084164,692.376,120,0.004099159663894625,1
SKS02,EQM_2,2,0,0.5,120,after_decay,692.376,43173.141,120,19.89358991597328,1
SKS02,EQM_2,2,0,0.5,240,shaking,2.721187645270318,13.387322285084164,240,0.004182426778243098,1
SKS02,EQM_2,2,0,0.5,240,before_decay,13.387322285084164,692.376,240,0.004149790795054287,1
SKS02,EQM_2,2,0,0.5,240,after_decay,692.376,43173.141,240,19.86464937238634,1
SKS02,EQM_2,2,0,0.75,120,shaking,2.721187645270318,13.387322285084164,120,0.004164705882353736,1
SKS02,EQM_2,2,0,0.75,120,before_decay,13.387322285084164,206.4078,120,0.004184873949583334,1
SKS02,EQM_2,2,0,0.75,120,after_decay,206.4078,43173.141,120,19.921487394960423,1
SKS02,EQM_2,2,0,0.75,240,shaking,2.721187645270318,13.387322285084164,240,0.004182426778243098,1
SKS02,EQM_2,2,0,0.75,240,before_decay,13.387322285084164,206.4078,240,0.004174895397490275,1
SKS02,EQM_2,2,0,0.75,240,after_decay,206.4078,43173.141,240,20.074719665270095,1
SKS02,EQM_2,2,1,0.25,120,shaking,4.221187645270318,11.887322285084164,120,0.004099159663866203,1
SKS02,EQM_2,2,1,0.25,120,before_decay,14.887322285084164,3330.4692,120,12.343119327731074,1
SKS02,EQM_2,2,1,0.25,120,after_decay,3333.4692,43173.141,120,19.77182521008217,1
SKS02,EQM_2,2,1,0.25,240,shaking,4.221187645270318,11.887322285084164,240,0.00414979079497968,1
SKS02,EQM_2,2,1,0.25,240,before_decay,14.887322285084164,3330.4692,239,13.712126359832837,1
SKS02,EQM_2,2,1,0.25,240,after_decay,3333.4692,43173.141,240,19.963619246864255,1
SKS02,EQM_2,2,1,0.5,120,shaking,4.221187645270318,11.887322285084164,120,0.004099159663866203,1
SKS02,EQM_2,2,1,0.5,120,before_decay,14.887322285084164,690.876,120,0.004164705882431008,1
SKS02,EQM_2,2,1,0.5,120,after_decay,693.876,43173.141,120,19.79700504201901,1
SKS02,EQM_2,2,1,0.5,240,shaking,4.221187645270318,11.887322285084164,240,0.00414979079497968,1
SKS02,EQM_2,2,1,0.5,240,before_decay,14.887322285084164,690.876,240,0.004182426778243098,1
SKS02,EQM_2,2,1,0.5,240,after_decay,693.876,43173.141,240,19.92073305439044,1
SKS02,EQM_2,2,1,0.75,120,shaking,4.221187645270318,11.887322285084164,120,0.004099159663866203,1
SKS02,EQM_2,2,1,0.75,120,before_decay,14.887322285084164,204.9078,120,0.004094117647071016,1
SKS02,EQM_2,2,1,0.75,120,after_decay,207.9078,43173.141,120,19.876946218479134,1
SKS02,EQM_2,2,1,0.75,240,shaking,4.221187645270318,11.887322285084164,240,0.00414979079497968,1
SKS02,EQM_2,2,1,0.75,240,before_decay,14.887322285084164,204.9078,240,0.0041974895397345335,1
SKS02,EQM_2,2,1,0.75,240,after_decay,207.9078,43173.141,240,19.991580753136077,1
SKS02,EQM_3,1,0,0.25,120,shaking,2.0209635831406447,12.111224113822392,120,0.004164705882354625,1
SKS02,EQM_3,1,0,0.25,120,before_decay,12.111224113822392,1615.6560000000002,120,0.004194957983258973,1
SKS02,EQM_3,1,0,0.25,120,after_decay,1615.6560000000002,43152.825,120,19.861749579831667,1
SKS02,EQM_3,1,0,0.25,240,shaking,2.0209635831406447,12.111224113822392,240,0.004182426778242654,1
SKS02,EQM_3,1,0,0.25,240,before_decay,12.111224113822392,1615.6560000000002,240,0.004182426778243098,1
SKS02,EQM_3,1,0,0.25,240,after_decay,1615.6560000000002,43152.825,240,19.760123849372576,1
SKS02,EQM_3,1,0,0.5,120,shaking,2.0209635831406447,12.111224113822392,120,0.004164705882354625,1
SKS02,EQM_3,1,0,0.5,120,before_decay,12.111224113822392,552.2081999999999,120,0.004164705882317321,1
SKS02,EQM_3,1,0,0.5,120,after_decay,552.2081999999999,43152.825,120,19.950105882355274,1
SKS02,EQM_3,1,0,0.5,240,shaking,2.0209635831406447,12.111224113822392,240,0.004182426778242654,1
SKS02,EQM_3,1,0,0.5,240,before_decay,12.111224113822392,552.2081999999999,240,0.004182426778072568,1
SKS02,EQM_3,1,0,0.5,240,after_decay,552.2081999999999,43152.825,240,19.960252719665732,1
SKS02,EQM_3,1,0,0.75,120,shaking,2.0209635831406447,12.111224113822392,120,0.004164705882354625,1
SKS02,EQM_3,1,0,0.75,120,before_decay,12.111224113822392,81.408,120,0.0038823529411757818,1
SKS02,EQM_3,1,0,0.75,120,after_decay,81.408,43152.825,120,19.917902521010546,1
SKS02,EQM_3,1,0,0.75,240,shaking,2.0209635831406447,12.111224113822392,240,0.004182426778242654,1
SKS02,EQM_3,1,0,0.75,240,before_decay,12.111224113822392,81.408,240,0.004159832635984628,1
SKS02,EQM_3,1,0,0.75,240,after_decay,81.408,43152.825,240,19.941266108784475,1
SKS02,EQM_3,1,1,0.25,120,shaking,5.020963583140645,9.111224113822392,120,0.0034285714285724467,1
SKS02,EQM_3,1,1,0.25,120,before_decay,15.111224113822392,1612.6560000000002,120,0.004194957983173708,1
SKS02,EQM_3,1,1,0.25,120,after_decay,1618.6560000000002,43152.825,120,19.89490588235276,1
SKS02,EQM_3,1,1,0.25,240,shaking,5.020963583140645,9.111224113822392,240,0.004182426778243098,1
SKS02,EQM_3,1,1,0.25,240,before_decay,15.111224113822392,1612.6560000000002,240,0.004142259414265936,1
SKS02,EQM_3,1,1,0.25,240,after_decay,1618.6560000000002,43152.825,240,20.015869456074142,1
SKS02,EQM_3,1,1,0.5,120,shaking,5.020963583140645,9.111224113822392,120,0.0034285714285724467,1
SKS02,EQM_3,1,1,0.5,120,before_decay,15.111224113822392,549.2081999999999,120,0.003867226890747588,1
SKS02,EQM_3,1,1,0.5,120,after_decay,555.2081999999999,43152.825,120,19.899242016806966,1
SKS02,EQM_3,1,1,0.5,240,shaking,5.020963583140645,9.111224113822392,240,0.004182426778243098,1
SKS02,EQM_3,1,1,0.5,240,before_decay,15.111224113822392,549.2081999999999,240,0.004157322175785794,1
SKS02,EQM_3,1,1,0.5,240,after_decay,555.2081999999999,43152.825,240,19.847221757321677,1
SKS02,EQM_3,1,1,0.75,120,shaking,5.020963583140645,9.111224113822392,120,0.0034285714285724467,1
SKS02,EQM_3,1,1,0.75,120,before_decay,15.111224113822392,78.408,120,0.004099159663859098,1
SKS02,EQM_3,1,1,0.75,120,after_decay,84.408,43152.825,120,19.492835294118777,1
SKS02,EQM_3,1,1,0.75,240,shaking,5.020963583140645,9.111224113822392,240,0.004182426778243098,1
SKS02,EQM_3,1,1,0.75,240,before_decay,15.111224113822392,78.408,240,0.00414728033473466,1
SKS02,EQM_3,1,1,0.75,240,after_decay,84.408,43152.825,240,19.961477824264875,1
SKS02,EQM_3,2,0,0.25,120,shaking,2.0209635831406447,12.111224113822392,120,0.004164705882354625,1
SKS02,EQM_3,2,0,0.25,120,before_decay,12.111224113822392,1615.6560000000002,120,0.004194957983258973,1
SKS02,EQM_3,2,0,0.25,120,after_decay,1615.6560000000002,43152.825,120,19.861749579831667,1
SKS02,EQM_3,2,0,0.25,240,shaking,2.0209635831406447,12.111224113822392,240,0.004182426778242654,1
SKS02,EQM_3,2,0,0.25,240,before_decay,12.111224113822392,1615.6560000000002,240,0.004182426778243098,1
SKS02,EQM_3,2,0,0.25,240,after_decay,1615.6560000000002,43152.825,240,19.760123849372576,1
SKS02,EQM_3,2,0,0.5,120,shaking,2.0209635831406447,12.111224113822392,120,0.004164705882354625,1
SKS02,EQM_3,2,0,0.5,120,before_decay,12.111224113822392,552.2081999999999,120,0.004164705882317321,1
SKS02,EQM_3,2,0,0.5,120,after_decay,552.2081999999999,43152.825,120,19.950105882355274,1
SKS02,EQM_3,2,0,0.5,240,shaking,2.0209635831406447,12.111224113822392,240,0.004182426778242654,1
SKS02,EQM_3,2,0,0.5,240,before_decay,12.111224113822392,552.2081999999999,240,0.004182426778072568,1
SKS02,EQM_3,2,0,0.5,240,after_decay,552.2081999999999,43152.825,240,19.960252719665732,1
SKS02,EQM_3,2,0,0.75,120,shaking,2.0209635831406447,12.111224113822392,120,0.004164705882354625,1
SKS02,EQM_3,2,0,0.75,120,before_decay,12.111224113822392,81.408,120,0.0038823529411757818,1
SKS02,EQM_3,2,0,0.75,120,after_decay,81.408,43152.825,120,19.917902521010546,1
SKS02,EQM_3,2,0,0.75,240,shaking,2.0209635831406447,12.111224113822392,240,0.004182426778242654,1
SKS02,EQM_3,2,0,0.75,240,before_decay,12.111224113822392,81.408,240,0.004159832635984628,1
SKS02,EQM_3,2,0,0.75,240,after_decay,81.408,43152.825,240,19.941266108784475,1
SKS02,EQM_3,2,1,0.25,120,shaking,3.5209635831406447,10.611224113822392,120,0.004099159663866203,1
SKS02,EQM_3,2,1,0.25,120,before_decay,13.611224113822392,1614.1560000000002,120,0.004164705882431008,1
SKS02,EQM_3,2,1,0.25,120,after_decay,1617.1560000000002,43152.825,120,19.786199999998644,1
SKS02,EQM_3,2,1,0.25,240,shaking,3.5209635831406447,10.611224113822392,240,0.0041497907949787916,1
SKS02,EQM_3,2,1,0.25,240,before_decay,13.611224113822392,1614.1560000000002,240,0.004182426778299941,1
SKS02,EQM_3,2,1,0.25,240,after_decay,1617.1560000000002,43152.825,240,19.9464426778286,1
SKS02,EQM_3,2,1,0.5,120,shaking,3.5209635831406447,10.611224113822392,120,0.004099159663866203,1
SKS02,EQM_3,2,1,0.5,120,before_decay,13.611224113822392,550.7081999999999,120,0.004129411764736801,1
SKS02,EQM_3,2,1,0.5,120,after_decay,553.7081999999999,43152.825,120,19.71335294117671,1
SKS02,EQM_3,2,1,0.5,240,shaking,3.5209635831406447,10.611224113822392,240,0.0041497907949787916,1
SKS02,EQM_3,2,1,0.5,240,before_decay,13.611224113822392,550.7081999999999,240,0.004194979079443328,1
SKS02,EQM_3,2,1,0.5,240,after_decay,553.7081999999999,43152.825,240,20.031509623426246,1
SKS02,EQM_3,2,1,0.75,120,shaking,3.5209635831406447,10.611224113822392,120,0.004099159663866203,1
SKS02,EQM_3,2,1,0.75,120,before_decay,13.611224113822392,79.908,120,0.004164705882338637,1
SKS02,EQM_3,2,1,0.75,120,after_decay,82.908,43152.825,120,19.841097478994925,1
SKS02,EQM_3,2,1,0.75,240,shaking,3.5209635831406447,10.611224113822392,240,0.0041497907949787916,1
SKS02,EQM_3,2,1,0.75,240,before_decay,13.611224113822392,79.908,240,0.004182426778243098,1
SKS02,EQM_3,2,1,0.75,240,after_decay,82.908,43152.825,240,19.997736401677685,1
SKS02,EQM_4,1,0,0.25,120,shaking,2.5307524161660755,13.185691277081746,120,0.0041949579831950246,1
SKS02,EQM_4,1,0,0.25,120,before_decay,13.185691277081746,3241.2203999999997,86,19.859420168067118,1
SKS02,EQM_4,1,0,0.25,120,after_decay,3241.2203999999997,43162.4214,120,19.883299159664602,1
SKS02,EQM_4,1,0,0.25,240,shaking,2.5307524161660755,13.185691277081746,240,0.004177405857744176,1
SKS02,EQM_4,1,0,0.25,240,before_decay,13.185691277081746,3241.2203999999997,97,19.837536401673447,1
SKS02,EQM_4,1,0,0.25,240,after_decay,3241.2203999999997,43162.4214,240,19.96478912133898,1
SKS02,EQM_4,1,0,0.5,120,shaking,2.5307524161660755,13.185691277081746,120,0.0041949579831950246,1
SKS02,EQM_4,1,0,0.5,120,before_decay,13.185691277081746,1961.6208000000001,61,19.94437310924377,1
SKS02,EQM_4,1,0,0.5,120,after_decay,1961.6208000000001,43162.4214,120,19.904319327728444,1
SKS02,EQM_4,1,0,0.5,240,shaking,2.5307524161660755,13.185691277081746,240,0.004177405857744176,1
SKS02,EQM_4,1,0,0.5,240,before_decay,13.185691277081746,1961.6208000000001,80,19.86257573221758,1
SKS02,EQM_4,1,0,0.5,240,after_decay,1961.6208000000001,43162.4214,240,19.998027615059982,1
SKS02,EQM_4,1,0,0.75,120,shaking,2.5307524161660755,13.185691277081746,120,0.0041949579831950246,1
SKS02,EQM_4,1,0,0.75,120,before_decay,13.185691277081746,1201.2204000000002,54,19.966860504201804,1
SKS02,EQM_4,1,0,0.75,120,after_decay,1201.2204000000002,43162.4214,120,19.856984873946203,1
SKS02,EQM_4,1,0,0.75,240,shaking,2.5307524161660755,13.185691277081746,240,0.004177405857744176,1
SKS02,EQM_4,1,0,0.75,240,before_decay,13.185691277081746,1201.2204000000002,85,19.914466945606648,1
SKS02,EQM_4,1,0,0.75,240,after_decay,1201.2204000000002,43162.4214,240,19.949292050208896,1
SKS02,EQM_4,1,1,0.25,120,shaking,5.5307524161660755,10.185691277081746,120,0.00406386554621907,1
SKS02,EQM_4,1,1,0.25,120,before_decay,16.185691277081744,3238.2203999999997,85,20.07095294117653,1
SKS02,EQM_4,1,1,0.25,120,after_decay,3244.2203999999997,43162.4214,120,19.918331092438166,1
SKS02,EQM_4,1,1,0.25,240,shaking,5.5307524161660755,10.185691277081746,240,0.004187447698745572,1
SKS02,EQM_4,1,1,0.25,240,before_decay,16.185691277081744,3238.2203999999997,96,14.924447698744814,1
SKS02,EQM_4,1,1,0.25,240,after_decay,3244.2203999999997,43162.4214,240,20.055461924683186,1
