test,source,smoothed,eta,sampling_cap,phase,policy,additional_stations_b,metric,events,median_delta,min_delta,max_delta,events_lower,events_higher
SKS02,SKS03,0,0.25,120,after_decay,boundary_retained,2,peak_depth_error,5,0.21428571428571425,-0.0714285714285714,0.28571428571428564,1,4
SKS02,SKS03,0,0.25,120,after_decay,boundary_retained,2,peak_load_error,5,-0.022607984907267176,-0.09232939774189604,0.005067406303045113,4,1
SKS02,SKS03,0,0.25,120,after_decay,boundary_retained,2,profile_nrmse,5,-0.004043248990494505,-0.03325094927116243,0.0052805503669734605,3,2
SKS02,SKS03,0,0.25,120,after_decay,boundary_retained,3,peak_depth_error,5,0.0714285714285714,0.0,0.0714285714285714,0,4
SKS02,SKS03,0,0.25,120,after_decay,boundary_retained,3,peak_load_error,5,0.038248351754171295,-0.0009623570154890793,0.07560352796185447,1,4
SKS02,SKS03,0,0.25,120,after_decay,boundary_retained,3,profile_nrmse,5,-0.0005484309440283996,-0.011889143455017182,0.008554542814771443,3,2
SKS02,SKS03,0,0.25,120,after_decay,boundary_retained,4,peak_depth_error,5,-0.35714285714285715,-0.35714285714285715,-0.2142857142857143,5,0
SKS02,SKS03,0,0.25,120,after_decay,boundary_retained,4,peak_load_error,5,-0.3027032938507571,-0.33634968641913887,-0.2704609819555811,5,0
SKS02,SKS03,0,0.25,120,after_decay,boundary_retained,4,profile_nrmse,5,-0.059441990967182265,-0.08642492444993616,-0.03248935944622117,5,0
SKS02,SKS03,0,0.25,120,after_decay,original,2,peak_depth_error,5,0.21428571428571425,0.14285714285714285,0.28571428571428564,0,5
SKS02,SKS03,0,0.25,120,after_decay,original,2,peak_load_error,5,-0.0839412943898448,-0.1836394785217344,-0.037205446723476976,5,0
SKS02,SKS03,0,0.25,120,after_decay,original,2,profile_nrmse,5,0.012155471274909582,-0.04209362882391823,0.04479032081755892,2,3
SKS02,SKS03,0,0.25,120,after_decay,original,3,peak_depth_error,5,0.0714285714285714,0.0,0.0714285714285714,0,4
SKS02,SKS03,0,0.25,120,after_decay,original,3,peak_load_error,5,0.038248351754171295,-0.0009623570154890793,0.07560352796185447,1,4
SKS02,SKS03,0,0.25,120,after_decay,original,3,profile_nrmse,5,-0.0005484309440283996,-0.011889143455017182,0.008554542814771443,3,2
SKS02,SKS03,0,0.25,120,after_decay,original,4,peak_depth_error,5,-0.35714285714285715,-0.35714285714285715,-0.2142857142857143,5,0
SKS02,SKS03,0,0.25,120,after_decay,original,4,peak_load_error,5,-0.3027032938507571,-0.33634968641913887,-0.2704609819555811,5,0
SKS02,SKS03,0,0.25,120,after_decay,original,4,profile_nrmse,5,-0.059441990967182265,-0.08642492444993616,-0.03248935944622117,5,0
SKS02,SKS03,0,0.25,120,before_decay,boundary_retained,2,peak_depth_error,5,0.4285714285714285,0.21428571428571425,0.4999999999999999,0,5
SKS02,SKS03,0,0.25,120,before_decay,boundary_retained,2,peak_load_error,5,-0.0437587680119442,-0.09630999137883708,0.026829521403653106,4,1
SKS02,SKS03,0,0.25,120,before_decay,boundary_retained,2,profile_nrmse,5,-0.02031590906168884,-0.04015350332719657,-1.0493189285532001e-07,5,0
SKS02,SKS03,0,0.25,120,before_decay,boundary_retained,3,peak_depth_error,5,0.21428571428571422,0.0714285714285714,0.35714285714285704,0,5
SKS02,SKS03,0,0.25,120,before_decay,boundary_retained,3,peak_load_error,5,0.02373166348175046,-0.024625775889849738,0.08049081282371434,1,4
SKS02,SKS03,0,0.25,120,before_decay,boundary_retained,3,profile_nrmse,5,-0.010467458580399047,-0.020248604948706936,0.0010372576000135941,4,1
SKS02,SKS03,0,0.25,120,before_decay,boundary_retained,4,peak_depth_error,5,-0.35714285714285715,-0.35714285714285715,-0.2142857142857143,5,0
SKS02,SKS03,0,0.25,120,before_decay,boundary_retained,4,peak_load_error,5,-0.329164162430646,-0.35740326367359887,-0.27335506681356553,5,0
SKS02,SKS03,0,0.25,120,before_decay,boundary_retained,4,profile_nrmse,5,-0.061514581929036215,-0.09427545295000272,-0.024447482594038644,5,0
SKS02,SKS03,0,0.25,120,before_decay,original,2,peak_depth_error,5,0.21428571428571425,0.14285714285714285,0.21428571428571425,0,5
SKS02,SKS03,0,0.25,120,before_decay,original,2,peak_load_error,5,-0.07312500905321576,-0.19823683474726886,0.0038652723130018496,4,1
SKS02,SKS03,0,0.25,120,before_decay,original,2,profile_nrmse,5,0.008283466858714561,-0.04300806247916687,0.062353680536582204,2,3
SKS02,SKS03,0,0.25,120,before_decay,original,3,peak_depth_error,5,0.21428571428571422,0.0714285714285714,0.35714285714285704,0,5
SKS02,SKS03,0,0.25,120,before_decay,original,3,peak_load_error,5,0.02373166348175046,-0.024625775889849738,0.08049081282371434,1,4
SKS02,SKS03,0,0.25,120,before_decay,original,3,profile_nrmse,5,-0.010467458580399047,-0.020248604948706936,0.0010372576000135941,4,1
SKS02,SKS03,0,0.25,120,before_decay,original,4,peak_depth_error,5,-0.35714285714285715,-0.35714285714285715,-0.2142857142857143,5,0
SKS02,SKS03,0,0.25,120,before_decay,original,4,peak_load_error,5,-0.329164162430646,-0.35740326367359887,-0.27335506681356553,5,0
SKS02,SKS03,0,0.25,120,before_decay,original,4,profile_nrmse,5,-0.061514581929036215,-0.09427545295000272,-0.024447482594038644,5,0
SKS02,SKS03,0,0.25,120,shaking,boundary_retained,2,peak_depth_error,6,0.21428571428571425,0.21428571428571425,0.39999999999999747,0,6
SKS02,SKS03,0,0.25,120,shaking,boundary_retained,2,peak_load_error,6,-0.09418797114751709,-0.11806733044399342,-0.051463624920253845,6,0
SKS02,SKS03,0,0.25,120,shaking,boundary_retained,2,profile_nrmse,6,-0.005519857994211688,-0.04348078291625097,0.005971220919334497,5,1
