test,event,pile,source_file,bytes,rows,complete_rows,time_min_start,time_min_end,median_dt_s,moving_mean_window_rows,moving_mean_window_s,sampled_snapshots,missing_fraction,gage_count,gage_columns_present,missing_required_columns,usable_common_eight_gage_reference,exclusion_reason,time_status
SKS02,Day_1_Spin_1,1,PRJ2828\SKS02\SKS02_Processed_Data\Day_1_Spin_1\Day_1_Spin_1_Pile_1_Axial_Load.txt,166607,1500,1500,0.0,24.98405,1.0001999999999711,1,0.0,120,0.0,9,Gage1[MN];Gage2[MN];Gage3[MN];Gage4[MN];Gage5[MN];Gage6[MN];Gage7[MN];Gage8[MN];Gage9[MN],,True,,provided
SKS02,Day_1_Spin_1,2,PRJ2828\SKS02\SKS02_Processed_Data\Day_1_Spin_1\Day_1_Spin_1_Pile_2_Axial_Load.txt,166607,1500,1500,0.0,24.98405,1.0001999999999711,1,0.0,120,0.0,9,Gage1[MN];Gage2[MN];Gage3[MN];Gage4[MN];Gage5[MN];Gage6[MN];Gage7[MN];Gage8[MN];Gage9[MN],,True,,provided
SKS02,Day_1_Spin_2,1,PRJ2828\SKS02\SKS02_Processed_Data\Day_1_Spin_2\Day_1_Spin_2_Pile_1_Axial_Load.txt,1198907,10800,10800,0.0,179.98813,1.0001999999998645,1,0.0,120,0.0,9,Gage1[MN];Gage2[MN];Gage3[MN];Gage4[MN];Gage5[MN];Gage6[MN];Gage7[MN];Gage8[MN];Gage9[MN],,True,,provided
SKS02,Day_1_Spin_2,2,PRJ2828\SKS02\SKS02_Processed_Data\Day_1_Spin_2\Day_1_Spin_2_Pile_2_Axial_Load.txt,1198907,10800,10800,0.0,179.98813,1.0001999999998645,1,0.0,120,0.0,9,Gage1[MN];Gage2[MN];Gage3[MN];Gage4[MN];Gage5[MN];Gage6[MN];Gage7[MN];Gage8[MN];Gage9[MN],,True,,provided
SKS02,Day_2_Spin_1,1,PRJ2828\SKS02\SKS02_Processed_Data\Day_2_Spin_1\Day_2_Spin_1_Pile_1_Axial_Load.txt,53387,480,480,0.0,7.9836,0.9996000000000471,1,0.0,120,0.0,9,Gage1[MN];Gage2[MN];Gage3[MN];Gage4[MN];Gage5[MN];Gage6[MN];Gage7[MN];Gage8[MN];Gage9[MN],,True,,provided
SKS02,Day_2_Spin_1,2,PRJ2828\SKS02\SKS02_Processed_Data\Day_2_Spin_1\Day_2_Spin_1_Pile_2_Axial_Load.txt,53387,480,480,0.0,7.9836,0.9996000000000471,1,0.0,120,0.0,9,Gage1[MN];Gage2[MN];Gage3[MN];Gage4[MN];Gage5[MN];Gage6[MN];Gage7[MN];Gage8[MN];Gage9[MN],,True,,provided
SKS02,Day_2_Spin_2,1,PRJ2828\SKS02\SKS02_Processed_Data\Day_2_Spin_2\Day_2_Spin_2_Pile_1_Axial_Load.txt,1465307,13200,13200,0.0,219.98976,1.0001999999998645,1,0.0,120,0.0,9,Gage1[MN];Gage2[MN];Gage3[MN];Gage4[MN];Gage5[MN];Gage6[MN];Gage7[MN];Gage8[MN];Gage9[MN],,True,,provided
SKS02,Day_2_Spin_2,2,PRJ2828\SKS02\SKS02_Processed_Data\Day_2_Spin_2\Day_2_Spin_2_Pile_2_Axial_Load.txt,1465307,13200,13200,0.0,219.98976,1.0001999999998645,1,0.0,120,0.0,9,Gage1[MN];Gage2[MN];Gage3[MN];Gage4[MN];Gage5[MN];Gage6[MN];Gage7[MN];Gage8[MN];Gage9[MN],,True,,provided
SKS02,EQM_1,1,PRJ2828\SKS02\SKS02_Processed_Data\EQM_1\EQM_1_Pile_1_Axial_Load.txt,4693403,42282,42282,0.0,719.51537,0.00780000000000447,769,6.0,120,0.0,9,Gage1[MN];Gage2[MN];Gage3[MN];Gage4[MN];Gage5[MN];Gage6[MN];Gage7[MN];Gage8[MN];Gage9[MN],,True,,provided
SKS02,EQM_1,2,PRJ2828\SKS02\SKS02_Processed_Data\EQM_1\EQM_1_Pile_2_Axial_Load.txt,4693412,42282,42282,0.0,719.51537,0.00780000000000447,385,3.0,120,0.0,9,Gage1[MN];Gage2[MN];Gage3[MN];Gage4[MN];Gage5[MN];Gage6[MN];Gage7[MN];Gage8[MN];Gage9[MN],,True,,provided
