test,gage_index_top_to_bottom,normalised_depth,median_normalised_absolute_second_difference,p90_normalised_absolute_second_difference,loo_selection_frequency_b2_to_b4
SKS02,1,0.14285714285714285,0.23899006276921797,0.6514619556451391,1.0
SKS02,2,0.2857142857142857,0.07300560501391637,0.20485366493452886,0.0
SKS02,3,0.42857142857142855,0.13658743800521264,0.3036299359759718,0.3333333333333333
SKS02,4,0.5714285714285714,0.08480861313674304,0.6277461750726627,0.0
SKS02,5,0.7142857142857142,0.6247950906566901,1.3686994003789799,0.6666666666666666
SKS02,6,0.8571428571428571,0.9920078721449452,1.2573493689635895,0.6666666666666666
SKS03,1,0.14285714285714285,0.7025646793819609,0.9764812315647414,1.0
SKS03,2,0.2857142857142857,0.04645093381009312,0.10907285944095708,0.0
SKS03,3,0.42857142857142855,0.10778182951117646,0.2663069410525919,0.3333333333333333
SKS03,4,0.5714285714285714,0.05685184420056489,0.2823005981576951,0.3333333333333333
SKS03,5,0.7142857142857142,0.13099770780513564,0.25522320530230336,0.3333333333333333
SKS03,6,0.8571428571428571,0.13233431583988586,0.3954988579137897,0.4
