test,event,pga_g,input_motion_samples,input_motion_source_file,keller_sensor_count,median_sensor_peak_ru,p90_sensor_peak_ru,maximum_observed_ru,keller_source_file,median_absolute_final_soil_settlement_mm,median_absolute_final_pile_settlement_mm,settlement_source_file
SKS02,EQM_1,0.02626,3750,PRJ2828\SKS02\SKS02_Processed_Data\EQM_1\EQM_1_Input_Motion.txt,10,0.007514999999999999,0.02403099999999999,0.05824,PRJ2828\SKS02\SKS02_Processed_Data\EQM_1\EQM_1_Keller_Excess_Pore_Pressure_Ratio.txt,2.762665,0.9534149999999999,PRJ2828\SKS02\SKS02_Processed_Data\EQM_1\EQM_1_Settlement.txt
SKS02,EQM_2,0.13858,3750,PRJ2828\SKS02\SKS02_Processed_Data\EQM_2\EQM_2_Input_Motion.txt,10,0.368005,0.7231279999999999,1.01822,PRJ2828\SKS02\SKS02_Processed_Data\EQM_2\EQM_2_Keller_Excess_Pore_Pressure_Ratio.txt,25.195085,5.258625,PRJ2828\SKS02\SKS02_Processed_Data\EQM_2\EQM_2_Settlement.txt
SKS02,EQM_3,0.23596,3750,PRJ2828\SKS02\SKS02_Processed_Data\EQM_3\EQM_3_Input_Motion.txt,10,0.7238899999999999,1.0188949999999999,1.1021,PRJ2828\SKS02\SKS02_Processed_Data\EQM_3\EQM_3_Keller_Excess_Pore_Pressure_Ratio.txt,72.309535,7.677810000000001,PRJ2828\SKS02\SKS02_Processed_Data\EQM_3\EQM_3_Settlement.txt
SKS02,EQM_4,0.12231,3750,PRJ2828\SKS02\SKS02_Processed_Data\EQM_4\EQM_4_Input_Motion.txt,10,0.224105,0.4363279999999998,0.92924,PRJ2828\SKS02\SKS02_Processed_Data\EQM_4\EQM_4_Keller_Excess_Pore_Pressure_Ratio.txt,26.97471,4.135585000000001,PRJ2828\SKS02\SKS02_Processed_Data\EQM_4\EQM_4_Settlement.txt
SKS02,EQM_5,0.31233,3750,PRJ2828\SKS02\SKS02_Processed_Data\EQM_5\EQM_5_Input_Motion.txt,10,0.825975,1.1516319999999998,1.72882,PRJ2828\SKS02\SKS02_Processed_Data\EQM_5\EQM_5_Keller_Excess_Pore_Pressure_Ratio.txt,84.69348,64.103765,PRJ2828\SKS02\SKS02_Processed_Data\EQM_5\EQM_5_Settlement.txt
SKS02,EQM_6,0.39314,11250,PRJ2828\SKS02\SKS02_Processed_Data\EQM_6\EQM_6_Input_Motion.txt,10,0.681195,1.019045,1.10387,PRJ2828\SKS02\SKS02_Processed_Data\EQM_6\EQM_6_Keller_Excess_Pore_Pressure_Ratio.txt,70.37016,35.349505,PRJ2828\SKS02\SKS02_Processed_Data\EQM_6\EQM_6_Settlement.txt
SKS03,EQM_1,0.08533,3750,PRJ2828\SKS03\Processed_Data\EQM_1\EQM_1_Input_Motion.txt,11,0.27178,1.13582,1.16973,PRJ2828\SKS03\Processed_Data\EQM_1\EQM_1_Keller_Excess_Pore_Pressure_Ratio.txt,,,
SKS03,EQM_2,0.12988,3750,PRJ2828\SKS03\Processed_Data\EQM_2\EQM_2_Input_Motion.txt,11,0.32848,1.15429,1.17911,PRJ2828\SKS03\Processed_Data\EQM_2\EQM_2_Keller_Excess_Pore_Pressure_Ratio.txt,,,
SKS03,EQM_3,0.18197,3750,PRJ2828\SKS03\Processed_Data\EQM_3\EQM_3_Input_Motion.txt,11,0.46351,1.15321,1.18051,PRJ2828\SKS03\Processed_Data\EQM_3\EQM_3_Keller_Excess_Pore_Pressure_Ratio.txt,,,
SKS03,EQM_4,0.4518,11250,PRJ2828\SKS03\Processed_Data\EQM_4\EQM_4_Input_Motion.txt,11,0.97209,1.23663,1.37256,PRJ2828\SKS03\Processed_Data\EQM_4\EQM_4_Keller_Excess_Pore_Pressure_Ratio.txt,,,
SKS03,EQM_5,0.67726,11250,PRJ2828\SKS03\Processed_Data\EQM_5\EQM_5_Input_Motion.txt,11,1.05061,1.51094,1.64135,PRJ2828\SKS03\Processed_Data\EQM_5\EQM_5_Keller_Excess_Pore_Pressure_Ratio.txt,,,
