test,event,piles,cross_regime,static_PRJ4809,uniform,additional_stations_b,training_test_for_cross_regime,cross_regime_minus_uniform,static_PRJ4809_minus_uniform,pga_g,input_motion_samples,input_motion_source_file,keller_sensor_count,median_sensor_peak_ru,p90_sensor_peak_ru,maximum_observed_ru,keller_source_file,median_absolute_final_soil_settlement_mm,median_absolute_final_pile_settlement_mm,settlement_source_file
SKS02,EQM_1,2,0.25458698401944757,0.2188538901188718,0.2127026720011137,2,SKS03,0.04188431201833387,0.006151218117758095,0.02626,3750,PRJ2828\SKS02\SKS02_Processed_Data\EQM_1\EQM_1_Input_Motion.txt,10,0.007514999999999999,0.02403099999999999,0.05824,PRJ2828\SKS02\SKS02_Processed_Data\EQM_1\EQM_1_Keller_Excess_Pore_Pressure_Ratio.txt,2.762665,0.9534149999999999,PRJ2828\SKS02\SKS02_Processed_Data\EQM_1\EQM_1_Settlement.txt
SKS02,EQM_2,2,0.26421878218494543,0.2324122021193943,0.22287241702768784,2,SKS03,0.04134636515725759,0.00953978509170647,0.13858,3750,PRJ2828\SKS02\SKS02_Processed_Data\EQM_2\EQM_2_Input_Motion.txt,10,0.368005,0.7231279999999999,1.01822,PRJ2828\SKS02\SKS02_Processed_Data\EQM_2\EQM_2_Keller_Excess_Pore_Pressure_Ratio.txt,25.195085,5.258625,PRJ2828\SKS02\SKS02_Processed_Data\EQM_2\EQM_2_Settlement.txt
SKS02,EQM_3,2,0.2721772400457584,0.2314537499283576,0.21097879683793885,2,SKS03,0.06119844320781953,0.020474953090418746,0.23596,3750,PRJ2828\SKS02\SKS02_Processed_Data\EQM_3\EQM_3_Input_Motion.txt,10,0.7238899999999999,1.0188949999999999,1.1021,PRJ2828\SKS02\SKS02_Processed_Data\EQM_3\EQM_3_Keller_Excess_Pore_Pressure_Ratio.txt,72.309535,7.677810000000001,PRJ2828\SKS02\SKS02_Processed_Data\EQM_3\EQM_3_Settlement.txt
SKS02,EQM_4,2,0.2084011505345014,0.22989590872469207,0.2529430940125892,2,SKS03,-0.04454194347808779,-0.02304718528789712,0.12231,3750,PRJ2828\SKS02\SKS02_Processed_Data\EQM_4\EQM_4_Input_Motion.txt,10,0.224105,0.4363279999999998,0.92924,PRJ2828\SKS02\SKS02_Processed_Data\EQM_4\EQM_4_Keller_Excess_Pore_Pressure_Ratio.txt,26.97471,4.135585000000001,PRJ2828\SKS02\SKS02_Processed_Data\EQM_4\EQM_4_Settlement.txt
SKS02,EQM_5,2,0.21062367161930096,0.23573674402323858,0.22919700901482665,2,SKS03,-0.01857333739552569,0.006539735008411929,0.31233,3750,PRJ2828\SKS02\SKS02_Processed_Data\EQM_5\EQM_5_Input_Motion.txt,10,0.825975,1.1516319999999998,1.72882,PRJ2828\SKS02\SKS02_Processed_Data\EQM_5\EQM_5_Keller_Excess_Pore_Pressure_Ratio.txt,84.69348,64.103765,PRJ2828\SKS02\SKS02_Processed_Data\EQM_5\EQM_5_Settlement.txt
SKS02,EQM_6,2,0.2169544918383805,0.21114156081036686,0.21190450936364,2,SKS03,0.005049982474740505,-0.000762948553273135,0.39314,11250,PRJ2828\SKS02\SKS02_Processed_Data\EQM_6\EQM_6_Input_Motion.txt,10,0.681195,1.019045,1.10387,PRJ2828\SKS02\SKS02_Processed_Data\EQM_6\EQM_6_Keller_Excess_Pore_Pressure_Ratio.txt,70.37016,35.349505,PRJ2828\SKS02\SKS02_Processed_Data\EQM_6\EQM_6_Settlement.txt
SKS03,EQM_1,2,0.13026806686853865,0.3271090362214053,0.23024907637267517,2,SKS02,-0.09998100950413652,0.09685995984873014,0.08533,3750,PRJ2828\SKS03\Processed_Data\EQM_1\EQM_1_Input_Motion.txt,11,0.27178,1.13582,1.16973,PRJ2828\SKS03\Processed_Data\EQM_1\EQM_1_Keller_Excess_Pore_Pressure_Ratio.txt,,,
SKS03,EQM_2,2,0.1352460575742917,0.3190550536357776,0.25083962724641173,2,SKS02,-0.11559356967212003,0.06821542638936584,0.12988,3750,PRJ2828\SKS03\Processed_Data\EQM_2\EQM_2_Input_Motion.txt,11,0.32848,1.15429,1.17911,PRJ2828\SKS03\Processed_Data\EQM_2\EQM_2_Keller_Excess_Pore_Pressure_Ratio.txt,,,
SKS03,EQM_3,2,0.12568177348965645,0.3105875557944734,0.27918867932158387,2,SKS02,-0.15350690583192741,0.031398876472889525,0.18197,3750,PRJ2828\SKS03\Processed_Data\EQM_3\EQM_3_Input_Motion.txt,11,0.46351,1.15321,1.18051,PRJ2828\SKS03\Processed_Data\EQM_3\EQM_3_Keller_Excess_Pore_Pressure_Ratio.txt,,,
SKS03,EQM_4,2,0.1343709486403481,0.38180872973027,0.2932916126274073,2,SKS02,-0.15892066398705923,0.0885171171028627,0.4518,11250,PRJ2828\SKS03\Processed_Data\EQM_4\EQM_4_Input_Motion.txt,11,0.97209,1.23663,1.37256,PRJ2828\SKS03\Processed_Data\EQM_4\EQM_4_Keller_Excess_Pore_Pressure_Ratio.txt,,,
