test,evaluation_event,additional_stations_b,strategy,training_events,layout
SKS02,EQM_2,2,first_event_frozen,EQM_1,0.000;0.143;0.571
SKS02,EQM_2,2,expanding_history,EQM_1,0.000;0.143;0.571
SKS02,EQM_3,2,first_event_frozen,EQM_1,0.000;0.143;0.571
SKS02,EQM_3,2,expanding_history,EQM_1;EQM_2,0.000;0.143;0.429
SKS02,EQM_4,2,first_event_frozen,EQM_1,0.000;0.143;0.571
SKS02,EQM_4,2,expanding_history,EQM_1;EQM_2;EQM_3,0.000;0.143;0.429
SKS02,EQM_5,2,first_event_frozen,EQM_1,0.000;0.143;0.571
SKS02,EQM_5,2,expanding_history,EQM_1;EQM_2;EQM_3;EQM_4,0.000;0.143;0.429
SKS02,EQM_6,2,first_event_frozen,EQM_1,0.000;0.143;0.571
SKS02,EQM_6,2,expanding_history,EQM_1;EQM_2;EQM_3;EQM_4;EQM_5,0.000;0.143;0.429
SKS02,EQM_2,3,first_event_frozen,EQM_1,0.000;0.143;0.714;0.857
SKS02,EQM_2,3,expanding_history,EQM_1,0.000;0.143;0.714;0.857
SKS02,EQM_3,3,first_event_frozen,EQM_1,0.000;0.143;0.714;0.857
SKS02,EQM_3,3,expanding_history,EQM_1;EQM_2,0.000;0.143;0.714;0.857
SKS02,EQM_4,3,first_event_frozen,EQM_1,0.000;0.143;0.714;0.857
SKS02,EQM_4,3,expanding_history,EQM_1;EQM_2;EQM_3,0.000;0.571;0.714;0.857
SKS02,EQM_5,3,first_event_frozen,EQM_1,0.000;0.143;0.714;0.857
SKS02,EQM_5,3,expanding_history,EQM_1;EQM_2;EQM_3;EQM_4,0.000;0.143;0.714;0.857
SKS02,EQM_6,3,first_event_frozen,EQM_1,0.000;0.143;0.714;0.857
SKS02,EQM_6,3,expanding_history,EQM_1;EQM_2;EQM_3;EQM_4;EQM_5,0.000;0.143;0.714;0.857
SKS02,EQM_2,4,first_event_frozen,EQM_1,0.000;0.143;0.714;0.857;1.000
SKS02,EQM_2,4,expanding_history,EQM_1,0.000;0.143;0.714;0.857;1.000
SKS02,EQM_3,4,first_event_frozen,EQM_1,0.000;0.143;0.714;0.857;1.000
SKS02,EQM_3,4,expanding_history,EQM_1;EQM_2,0.000;0.143;0.714;0.857;1.000
SKS02,EQM_4,4,first_event_frozen,EQM_1,0.000;0.143;0.714;0.857;1.000
SKS02,EQM_4,4,expanding_history,EQM_1;EQM_2;EQM_3,0.000;0.571;0.714;0.857;1.000
SKS02,EQM_5,4,first_event_frozen,EQM_1,0.000;0.143;0.714;0.857;1.000
SKS02,EQM_5,4,expanding_history,EQM_1;EQM_2;EQM_3;EQM_4,0.000;0.143;0.714;0.857;1.000
SKS02,EQM_6,4,first_event_frozen,EQM_1,0.000;0.143;0.714;0.857;1.000
SKS02,EQM_6,4,expanding_history,EQM_1;EQM_2;EQM_3;EQM_4;EQM_5,0.000;0.143;0.714;0.857;1.000
SKS03,EQM_2,2,first_event_frozen,EQM_1,0.000;0.143;0.857
SKS03,EQM_2,2,expanding_history,EQM_1,0.000;0.143;0.857
SKS03,EQM_3,2,first_event_frozen,EQM_1,0.000;0.143;0.857
SKS03,EQM_3,2,expanding_history,EQM_1;EQM_2,0.000;0.143;0.714
SKS03,EQM_4,2,first_event_frozen,EQM_1,0.000;0.143;0.857
SKS03,EQM_4,2,expanding_history,EQM_1;EQM_2;EQM_3,0.000;0.143;0.714
SKS03,EQM_5,2,first_event_frozen,EQM_1,0.000;0.143;0.857
SKS03,EQM_5,2,expanding_history,EQM_1;EQM_2;EQM_3;EQM_4,0.000;0.143;0.714
SKS03,EQM_2,3,first_event_frozen,EQM_1,0.000;0.143;0.571;1.000
SKS03,EQM_2,3,expanding_history,EQM_1,0.000;0.143;0.571;1.000
SKS03,EQM_3,3,first_event_frozen,EQM_1,0.000;0.143;0.571;1.000
SKS03,EQM_3,3,expanding_history,EQM_1;EQM_2,0.000;0.143;0.571;1.000
SKS03,EQM_4,3,first_event_frozen,EQM_1,0.000;0.143;0.571;1.000
SKS03,EQM_4,3,expanding_history,EQM_1;EQM_2;EQM_3,0.000;0.143;0.429;0.714
SKS03,EQM_5,3,first_event_frozen,EQM_1,0.000;0.143;0.571;1.000
SKS03,EQM_5,3,expanding_history,EQM_1;EQM_2;EQM_3;EQM_4,0.000;0.143;0.429;1.000
SKS03,EQM_2,4,first_event_frozen,EQM_1,0.000;0.143;0.429;0.857;1.000
SKS03,EQM_2,4,expanding_history,EQM_1,0.000;0.143;0.429;0.857;1.000
SKS03,EQM_3,4,first_event_frozen,EQM_1,0.000;0.143;0.429;0.857;1.000
SKS03,EQM_3,4,expanding_history,EQM_1;EQM_2,0.000;0.143;0.429;0.714;1.000
SKS03,EQM_4,4,first_event_frozen,EQM_1,0.000;0.143;0.429;0.857;1.000
SKS03,EQM_4,4,expanding_history,EQM_1;EQM_2;EQM_3,0.000;0.143;0.571;0.857;1.000
SKS03,EQM_5,4,first_event_frozen,EQM_1,0.000;0.143;0.429;0.857;1.000
SKS03,EQM_5,4,expanding_history,EQM_1;EQM_2;EQM_3;EQM_4,0.000;0.143;0.571;0.857;1.000
