test,training_events,evaluation_event,additional_stations_b,strategy,piles_aggregated,selected_gage_indices_top_to_bottom,selected_normalised_depths,candidate_event_p90_nrmse,uniform_event_p90_nrmse,candidate_minus_uniform
SKS02,EQM_1,EQM_2,2,first_event_frozen,2,0;1;4,0.000;0.143;0.571,0.19640703657726252,0.2228724170276879,-0.026465380450425374
SKS02,EQM_1,EQM_2,2,expanding_history,2,0;1;4,0.000;0.143;0.571,0.19640703657726252,0.2228724170276879,-0.026465380450425374
SKS02,PRJ4809,EQM_2,2,static_PRJ4809,2,0;6;7,0.000;0.857;1.000,0.2324122021193944,0.2228724170276879,0.009539785091706499
SKS02,EQM_1,EQM_3,2,first_event_frozen,2,0;1;4,0.000;0.143;0.571,0.21545271290433415,0.2109787968379389,0.004473916066395245
SKS02,EQM_1;EQM_2,EQM_3,2,expanding_history,2,0;1;3,0.000;0.143;0.429,0.23018522889163434,0.2109787968379389,0.019206432053695432
SKS02,PRJ4809,EQM_3,2,static_PRJ4809,2,0;6;7,0.000;0.857;1.000,0.2314537499283577,0.2109787968379389,0.0204749530904188
SKS02,EQM_1,EQM_4,2,first_event_frozen,2,0;1;4,0.000;0.143;0.571,0.18601932576153798,0.2529430940125893,-0.06692376825105131
SKS02,EQM_1;EQM_2;EQM_3,EQM_4,2,expanding_history,2,0;1;3,0.000;0.143;0.429,0.19572550947239298,0.2529430940125893,-0.05721758454019632
SKS02,PRJ4809,EQM_4,2,static_PRJ4809,2,0;6;7,0.000;0.857;1.000,0.22989590872469207,0.2529430940125893,-0.02304718528789723
SKS02,EQM_1,EQM_5,2,first_event_frozen,2,0;1;4,0.000;0.143;0.571,0.1833178016760997,0.22919700901482676,-0.04587920733872705
SKS02,EQM_1;EQM_2;EQM_3;EQM_4,EQM_5,2,expanding_history,2,0;1;3,0.000;0.143;0.429,0.18714604951974717,0.22919700901482676,-0.04205095949507959
SKS02,PRJ4809,EQM_5,2,static_PRJ4809,2,0;6;7,0.000;0.857;1.000,0.23573674402323863,0.22919700901482676,0.006539735008411873
SKS02,EQM_1,EQM_6,2,first_event_frozen,2,0;1;4,0.000;0.143;0.571,0.17548707535161728,0.21190450936364008,-0.0364174340120228
SKS02,EQM_1;EQM_2;EQM_3;EQM_4;EQM_5,EQM_6,2,expanding_history,2,0;1;3,0.000;0.143;0.429,0.19493169458385728,0.21190450936364008,-0.016972814779782797
SKS02,PRJ4809,EQM_6,2,static_PRJ4809,2,0;6;7,0.000;0.857;1.000,0.21114156081036684,0.21190450936364008,-0.0007629485532732461
SKS02,EQM_1,EQM_2,3,first_event_frozen,2,0;1;5;6,0.000;0.143;0.714;0.857,0.1895462859384176,0.21197813222844952,-0.02243184629003192
SKS02,EQM_1,EQM_2,3,expanding_history,2,0;1;5;6,0.000;0.143;0.714;0.857,0.1895462859384176,0.21197813222844952,-0.02243184629003192
SKS02,PRJ4809,EQM_2,3,static_PRJ4809,2,0;3;6;7,0.000;0.429;0.857;1.000,0.19074170400186766,0.21197813222844952,-0.021236428226581866
SKS02,EQM_1,EQM_3,3,first_event_frozen,2,0;1;5;6,0.000;0.143;0.714;0.857,0.18925643797877578,0.21364819052670603,-0.024391752547930245
SKS02,EQM_1;EQM_2,EQM_3,3,expanding_history,2,0;1;5;6,0.000;0.143;0.714;0.857,0.18925643797877578,0.21364819052670603,-0.024391752547930245
SKS02,PRJ4809,EQM_3,3,static_PRJ4809,2,0;3;6;7,0.000;0.429;0.857;1.000,0.18422403445784222,0.21364819052670603,-0.02942415606886381
SKS02,EQM_1,EQM_4,3,first_event_frozen,2,0;1;5;6,0.000;0.143;0.714;0.857,0.18493940681095894,0.19874458376109533,-0.013805176950136389
SKS02,EQM_1;EQM_2;EQM_3,EQM_4,3,expanding_history,2,0;4;5;6,0.000;0.571;0.714;0.857,0.24914007101947602,0.19874458376109533,0.050395487258380695
SKS02,PRJ4809,EQM_4,3,static_PRJ4809,2,0;3;6;7,0.000;0.429;0.857;1.000,0.1892961485629251,0.19874458376109533,-0.009448435198170235
SKS02,EQM_1,EQM_5,3,first_event_frozen,2,0;1;5;6,0.000;0.143;0.714;0.857,0.17118350179732014,0.1985155305588065,-0.027332028761486354
SKS02,EQM_1;EQM_2;EQM_3;EQM_4,EQM_5,3,expanding_history,2,0;1;5;6,0.000;0.143;0.714;0.857,0.17118350179732014,0.1985155305588065,-0.027332028761486354
SKS02,PRJ4809,EQM_5,3,static_PRJ4809,2,0;3;6;7,0.000;0.429;0.857;1.000,0.20359020829571872,0.1985155305588065,0.005074677736912225
SKS02,EQM_1,EQM_6,3,first_event_frozen,2,0;1;5;6,0.000;0.143;0.714;0.857,0.1873238515749077,0.19488332919182394,-0.007559477616916249
SKS02,EQM_1;EQM_2;EQM_3;EQM_4;EQM_5,EQM_6,3,expanding_history,2,0;1;5;6,0.000;0.143;0.714;0.857,0.1873238515749077,0.19488332919182394,-0.007559477616916249
SKS02,PRJ4809,EQM_6,3,static_PRJ4809,2,0;3;6;7,0.000;0.429;0.857;1.000,0.17907947787456469,0.19488332919182394,-0.015803851317259254
SKS02,EQM_1,EQM_2,4,first_event_frozen,2,0;1;5;6;7,0.000;0.143;0.714;0.857;1.000,0.08638169422246339,0.20191757195125865,-0.11553587772879526
SKS02,EQM_1,EQM_2,4,expanding_history,2,0;1;5;6;7,0.000;0.143;0.714;0.857;1.000,0.08638169422246339,0.20191757195125865,-0.11553587772879526
SKS02,PRJ4809,EQM_2,4,static_PRJ4809,2,0;3;4;6;7,0.000;0.429;0.571;0.857;1.000,0.1748597672406976,0.20191757195125865,-0.027057804710561045
SKS02,EQM_1,EQM_3,4,first_event_frozen,2,0;1;5;6;7,0.000;0.143;0.714;0.857;1.000,0.10982984405836493,0.1944066299648191,-0.08457678590645418
SKS02,EQM_1;EQM_2,EQM_3,4,expanding_history,2,0;1;5;6;7,0.000;0.143;0.714;0.857;1.000,0.10982984405836493,0.1944066299648191,-0.08457678590645418
SKS02,PRJ4809,EQM_3,4,static_PRJ4809,2,0;3;4;6;7,0.000;0.429;0.571;0.857;1.000,0.17468046908396612,0.1944066299648191,-0.019726160880852994
SKS02,EQM_1,EQM_4,4,first_event_frozen,2,0;1;5;6;7,0.000;0.143;0.714;0.857;1.000,0.04800015822827704,0.19712908526669098,-0.14912892703841396
SKS02,EQM_1;EQM_2;EQM_3,EQM_4,4,expanding_history,2,0;4;5;6;7,0.000;0.571;0.714;0.857;1.000,0.141679459241825,0.19712908526669098,-0.05544962602486597
SKS02,PRJ4809,EQM_4,4,static_PRJ4809,2,0;3;4;6;7,0.000;0.429;0.571;0.857;1.000,0.15655593929744893,0.19712908526669098,-0.04057314596924205
SKS02,EQM_1,EQM_5,4,first_event_frozen,2,0;1;5;6;7,0.000;0.143;0.714;0.857;1.000,0.050497395429849795,0.19710214498151174,-0.14660474955166194
SKS02,EQM_1;EQM_2;EQM_3;EQM_4,EQM_5,4,expanding_history,2,0;1;5;6;7,0.000;0.143;0.714;0.857;1.000,0.050497395429849795,0.19710214498151174,-0.14660474955166194
SKS02,PRJ4809,EQM_5,4,static_PRJ4809,2,0;3;4;6;7,0.000;0.429;0.571;0.857;1.000,0.1824641138536447,0.19710214498151174,-0.014638031127867046
SKS02,EQM_1,EQM_6,4,first_event_frozen,2,0;1;5;6;7,0.000;0.143;0.714;0.857;1.000,0.06329958585314481,0.19211891916426715,-0.12881933331112233
SKS02,EQM_1;EQM_2;EQM_3;EQM_4;EQM_5,EQM_6,4,expanding_history,2,0;1;5;6;7,0.000;0.143;0.714;0.857;1.000,0.06329958585314481,0.19211891916426715,-0.12881933331112233
SKS02,PRJ4809,EQM_6,4,static_PRJ4809,2,0;3;4;6;7,0.000;0.429;0.571;0.857;1.000,0.16011884846655022,0.19211891916426715,-0.03200007069771693
SKS03,EQM_1,EQM_2,2,first_event_frozen,2,0;1;6,0.000;0.143;0.857,0.09519424373514362,0.25083962724641173,-0.1556453835112681
SKS03,EQM_1,EQM_2,2,expanding_history,2,0;1;6,0.000;0.143;0.857,0.09519424373514362,0.25083962724641173,-0.1556453835112681
SKS03,PRJ4809,EQM_2,2,static_PRJ4809,2,0;6;7,0.000;0.857;1.000,0.31905505363577763,0.25083962724641173,0.0682154263893659
SKS03,EQM_1,EQM_3,2,first_event_frozen,2,0;1;6,0.000;0.143;0.857,0.11719594639357256,0.27918867932158387,-0.1619927329280113
SKS03,EQM_1;EQM_2,EQM_3,2,expanding_history,2,0;1;5,0.000;0.143;0.714,0.09632553485021467,0.27918867932158387,-0.1828631444713692
SKS03,PRJ4809,EQM_3,2,static_PRJ4809,2,0;6;7,0.000;0.857;1.000,0.31058755579447345,0.27918867932158387,0.03139887647288958
SKS03,EQM_1,EQM_4,2,first_event_frozen,2,0;1;6,0.000;0.143;0.857,0.0722614903871528,0.2932916126274074,-0.2210301222402546
SKS03,EQM_1;EQM_2;EQM_3,EQM_4,2,expanding_history,2,0;1;5,0.000;0.143;0.714,0.08027311168213294,0.2932916126274074,-0.21301850094527444
SKS03,PRJ4809,EQM_4,2,static_PRJ4809,2,0;6;7,0.000;0.857;1.000,0.38180872973027,0.2932916126274074,0.08851711710286264
SKS03,EQM_1,EQM_5,2,first_event_frozen,2,0;1;6,0.000;0.143;0.857,0.1099959266127165,0.2897737659881906,-0.1797778393754741
SKS03,EQM_1;EQM_2;EQM_3;EQM_4,EQM_5,2,expanding_history,2,0;1;5,0.000;0.143;0.714,0.11394639808363677,0.2897737659881906,-0.17582736790455383
SKS03,PRJ4809,EQM_5,2,static_PRJ4809,2,0;6;7,0.000;0.857;1.000,0.43242593441639654,0.2897737659881906,0.14265216842820594
SKS03,EQM_1,EQM_2,3,first_event_frozen,2,0;1;4;7,0.000;0.143;0.571;1.000,0.07338725310165671,0.14194271726814084,-0.06855546416648413
SKS03,EQM_1,EQM_2,3,expanding_history,2,0;1;4;7,0.000;0.143;0.571;1.000,0.07338725310165671,0.14194271726814084,-0.06855546416648413
SKS03,PRJ4809,EQM_2,3,static_PRJ4809,2,0;3;6;7,0.000;0.429;0.857;1.000,0.18514194858454242,0.14194271726814084,0.043199231316401576
SKS03,EQM_1,EQM_3,3,first_event_frozen,2,0;1;4;7,0.000;0.143;0.571;1.000,0.09284449664599241,0.14924807600873058,-0.05640357936273817
SKS03,EQM_1;EQM_2,EQM_3,3,expanding_history,2,0;1;4;7,0.000;0.143;0.571;1.000,0.09284449664599241,0.14924807600873058,-0.05640357936273817
SKS03,PRJ4809,EQM_3,3,static_PRJ4809,2,0;3;6;7,0.000;0.429;0.857;1.000,0.2094614973173202,0.14924807600873058,0.060213421308589615
SKS03,EQM_1,EQM_4,3,first_event_frozen,2,0;1;4;7,0.000;0.143;0.571;1.000,0.06555977351777599,0.15196508764937477,-0.08640531413159878
SKS03,EQM_1;EQM_2;EQM_3,EQM_4,3,expanding_history,2,0;1;3;5,0.000;0.143;0.429;0.714,0.07184180084096478,0.15196508764937477,-0.08012328680841
SKS03,PRJ4809,EQM_4,3,static_PRJ4809,2,0;3;6;7,0.000;0.429;0.857;1.000,0.21093893643758277,0.15196508764937477,0.058973848788207994
SKS03,EQM_1,EQM_5,3,first_event_frozen,2,0;1;4;7,0.000;0.143;0.571;1.000,0.06507769362975135,0.1796036112307211,-0.11452591760096975
SKS03,EQM_1;EQM_2;EQM_3;EQM_4,EQM_5,3,expanding_history,2,0;1;3;7,0.000;0.143;0.429;1.000,0.06951439772267128,0.1796036112307211,-0.11008921350804983
SKS03,PRJ4809,EQM_5,3,static_PRJ4809,2,0;3;6;7,0.000;0.429;0.857;1.000,0.20576831133072548,0.1796036112307211,0.02616470010000438
SKS03,EQM_1,EQM_2,4,first_event_frozen,2,0;1;3;6;7,0.000;0.143;0.429;0.857;1.000,0.05145283366310156,0.13921685913470258,-0.08776402547160102
SKS03,EQM_1,EQM_2,4,expanding_history,2,0;1;3;6;7,0.000;0.143;0.429;0.857;1.000,0.05145283366310156,0.13921685913470258,-0.08776402547160102
