test,additional_stations_b,strategy,future_earthquakes,median_candidate_minus_uniform,worst_candidate_minus_uniform,best_candidate_minus_uniform,fraction_future_events_better
SKS02,2,first_event_frozen,5,-0.0364174340120228,0.004473916066395245,-0.06692376825105131,0.8
SKS02,2,expanding_history,5,-0.026465380450425374,0.019206432053695432,-0.05721758454019632,0.8
SKS02,2,static_PRJ4809,5,0.006539735008411873,0.0204749530904188,-0.02304718528789723,0.4
SKS03,2,expanding_history,4,-0.17934525618796152,-0.1556453835112681,-0.21301850094527444,1.0
SKS03,2,first_event_frozen,4,-0.1708852861517427,-0.1556453835112681,-0.2210301222402546,1.0
SKS03,2,static_PRJ4809,4,0.07836627174611427,0.14265216842820594,0.03139887647288958,0.0
SKS02,3,expanding_history,5,-0.02243184629003192,0.050395487258380695,-0.027332028761486354,0.8
SKS02,3,first_event_frozen,5,-0.02243184629003192,-0.007559477616916249,-0.027332028761486354,1.0
SKS02,3,static_PRJ4809,5,-0.015803851317259254,0.005074677736912225,-0.02942415606886381,0.8
SKS03,3,first_event_frozen,4,-0.07748038914904146,-0.05640357936273817,-0.11452591760096975,1.0
SKS03,3,expanding_history,4,-0.07433937548744707,-0.05640357936273817,-0.11008921350804983,1.0
SKS03,3,static_PRJ4809,4,0.051086540052304785,0.060213421308589615,0.02616470010000438,0.0
SKS02,4,first_event_frozen,5,-0.12881933331112233,-0.08457678590645418,-0.14912892703841396,1.0
SKS02,4,expanding_history,5,-0.11553587772879526,-0.05544962602486597,-0.14660474955166194,1.0
SKS02,4,static_PRJ4809,5,-0.027057804710561045,-0.014638031127867046,-0.04057314596924205,1.0
SKS03,4,first_event_frozen,4,-0.10157320793794397,-0.06890248261404529,-0.11577014093639107,1.0
SKS03,4,expanding_history,4,-0.09973371253539823,-0.08287301483003827,-0.1143557163672491,1.0
SKS03,4,static_PRJ4809,4,0.04497422451299715,0.055531003558103115,0.038485075221120185,0.0
