evaluation_test,training_source,evidence_type,additional_stations_b,earthquake_event_clusters,pile_event_histories,median_candidate_cluster_p90_nrmse,median_uniform_cluster_p90_nrmse,median_paired_delta_candidate_minus_uniform,bootstrap_95_ci_low,bootstrap_95_ci_high,fraction_events_candidate_better,interpretation
SKS02,PRJ-4809,independent_static_PRJ4809,2,6,12,0.23067482932652486,0.21778754451440077,0.006345476563085012,-0.011905066920585204,0.015007369091062615,0.3333333333333333,candidate better when delta and its interval are below zero; interval resamples earthquake-level pile medians and remains descriptive because only 5-6 sequential events are available
SKS02,SKS03,cross_regime_trained_SKS03,2,6,12,0.23577073792891404,0.21778754451440077,0.023198173815999,-0.031557640436806776,0.051541377613076686,0.3333333333333333,candidate better when delta and its interval are below zero; interval resamples earthquake-level pile medians and remains descriptive because only 5-6 sequential events are available
SKS03,PRJ-4809,independent_static_PRJ4809,2,5,10,0.32710903622140536,0.27918867932158387,0.08851711710286267,0.03139887647288958,0.14265216842820588,0.0,candidate better when delta and its interval are below zero; interval resamples earthquake-level pile medians and remains descriptive because only 5-6 sequential events are available
SKS03,SKS02,cross_regime_trained_SKS02,2,5,10,0.13437094864034815,0.27918867932158387,-0.11559356967211999,-0.1589206639870592,-0.07837210714766805,1.0,candidate better when delta and its interval are below zero; interval resamples earthquake-level pile medians and remains descriptive because only 5-6 sequential events are available
SKS02,PRJ-4809,independent_static_PRJ4809,3,6,12,0.1867600915103837,0.19891040615847905,-0.015675877046801658,-0.02533029214772286,-0.002186878730629005,0.8333333333333334,candidate better when delta and its interval are below zero; interval resamples earthquake-level pile medians and remains descriptive because only 5-6 sequential events are available
SKS02,SKS03,cross_regime_trained_SKS03,3,6,12,0.1975740061908429,0.19891040615847905,-0.005889964492901051,-0.01697900361198608,-0.0013363999676361607,1.0,candidate better when delta and its interval are below zero; interval resamples earthquake-level pile medians and remains descriptive because only 5-6 sequential events are available
SKS03,PRJ-4809,independent_static_PRJ4809,3,5,10,0.20576831133072554,0.14924807600873058,0.04319923131640158,0.026164700100004434,0.06021342130858963,0.0,candidate better when delta and its interval are below zero; interval resamples earthquake-level pile medians and remains descriptive because only 5-6 sequential events are available
SKS03,SKS02,cross_regime_trained_SKS02,3,5,10,0.09797233267943678,0.14924807600873058,-0.055093968420172196,-0.08060505967578174,-0.04228487122589159,1.0,candidate better when delta and its interval are below zero; interval resamples earthquake-level pile medians and remains descriptive because only 5-6 sequential events are available
SKS02,PRJ-4809,independent_static_PRJ4809,4,6,12,0.16856774755475995,0.19575438747316543,-0.026819519763456184,-0.036286608333479506,-0.017182096004360024,1.0,candidate better when delta and its interval are below zero; interval resamples earthquake-level pile medians and remains descriptive because only 5-6 sequential events are available
SKS02,SKS03,cross_regime_trained_SKS03,4,6,12,0.13850496075187238,0.19575438747316543,-0.053494997570867245,-0.08143865891535236,-0.03410156483594115,1.0,candidate better when delta and its interval are below zero; interval resamples earthquake-level pile medians and remains descriptive because only 5-6 sequential events are available
SKS03,PRJ-4809,independent_static_PRJ4809,4,5,10,0.18626424982683146,0.14777917460571127,0.04041147953617255,0.038485075221120185,0.05553100355810314,0.0,candidate better when delta and its interval are below zero; interval resamples earthquake-level pile medians and remains descriptive because only 5-6 sequential events are available
SKS03,SKS02,cross_regime_trained_SKS02,4,5,10,0.0530042934968236,0.14777917460571127,-0.08621256563787899,-0.11720456188845114,-0.05960620562216956,1.0,candidate better when delta and its interval are below zero; interval resamples earthquake-level pile medians and remains descriptive because only 5-6 sequential events are available
SKS02,PRJ-4809,independent_static_PRJ4809,5,6,12,0.13612742858772986,0.13612742858772986,0.0,0.0,0.0,0.0,candidate better when delta and its interval are below zero; interval resamples earthquake-level pile medians and remains descriptive because only 5-6 sequential events are available
SKS02,SKS03,cross_regime_trained_SKS03,5,6,12,0.13612742858772986,0.13612742858772986,0.0,0.0,0.0,0.0,candidate better when delta and its interval are below zero; interval resamples earthquake-level pile medians and remains descriptive because only 5-6 sequential events are available
SKS03,PRJ-4809,independent_static_PRJ4809,5,5,10,0.03542612242458076,0.03542612242458076,0.0,0.0,0.0,0.0,candidate better when delta and its interval are below zero; interval resamples earthquake-level pile medians and remains descriptive because only 5-6 sequential events are available
SKS03,SKS02,cross_regime_trained_SKS02,5,5,10,0.03530947878734212,0.03542612242458076,-0.00046636108641718785,-0.013064779702176479,0.024385131150037227,0.6,candidate better when delta and its interval are below zero; interval resamples earthquake-level pile medians and remains descriptive because only 5-6 sequential events are available
