test,layout,additional_stations_b,snapshots,median_nrmse,p90_nrmse,median_mae_mn,p90_peak_load_relative_error,median_peak_depth_error_z_over_l,p90_peak_depth_error_z_over_l
SKS02,pooled_robust_2,2,1440,0.1915636798339021,0.2287012784391148,0.12115860714285716,0.5051677440771828,0.7142857142857142,0.7142857142857142
SKS02,trained_SKS02_applied_all_2,2,1440,0.1915636798339021,0.2287012784391148,0.12115860714285716,0.5051677440771828,0.7142857142857142,0.7142857142857142
SKS02,uniform_2,2,1440,0.19662163612917863,0.2947511995727768,0.12973992888769453,0.43784911136153604,0.2857142857142857,0.2857142857142857
SKS02,static_transfer_2,2,1440,0.2002417617799705,0.30939034875330745,0.14144437987646297,0.0,0.0,0.0
SKS02,trained_SKS03_applied_all_2,2,1440,0.19973930090153338,0.37683206578023726,0.13664495848778985,0.3770603873446107,0.7142857142857142,0.7142857142857142
SKS03,trained_SKS03_applied_all_2,2,1200,0.09089410625191671,0.121767021704396,0.11469140746753254,0.19348575158425438,0.14285714285714285,0.2857142857142857
SKS03,pooled_robust_2,2,1200,0.12177560892481878,0.214823582907108,0.19164378076424884,0.11586798478894073,0.14285714285714285,0.28571428571428564
SKS03,trained_SKS02_applied_all_2,2,1200,0.12177560892481878,0.214823582907108,0.19164378076424884,0.11586798478894073,0.14285714285714285,0.28571428571428564
SKS03,uniform_2,2,1200,0.2667612340392721,0.3195920149071149,0.3431576793522755,0.26740441217661237,0.14285714285714285,0.2857142857142857
SKS03,static_transfer_2,2,1200,0.35402935691357196,0.42650690600587815,0.4882294448051948,0.27022633767546145,0.42857142857142855,0.5714285714285714
SKS02,pooled_robust_3,3,1440,0.16732526258186764,0.19286043320470436,0.09079499512987016,0.0,0.0,0.0
SKS02,trained_SKS02_applied_all_3,3,1440,0.16732526258186764,0.19286043320470436,0.09079499512987016,0.0,0.0,0.0
SKS02,trained_SKS03_applied_all_3,3,1440,0.17823128673072713,0.21716111824671336,0.10815146672077922,0.4582500021582347,0.7142857142857142,0.7142857142857142
