source_test,additional_stations_b,total_retained_stations,heldout_event,full_data_layout,loo_layout,exact_layout_match,jaccard_similarity,heldout_candidate_nrmse,heldout_uniform_nrmse,heldout_delta
SKS02,2,3,EQM_1,0;1;3,0;1;3,True,1.0,0.20093584024042982,0.2127026720011137,-0.011766831760683882
SKS02,2,3,EQM_2,0;1;3,0;1;3,True,1.0,0.214211264115301,0.22287241702768784,-0.008661152912386838
SKS02,2,3,EQM_3,0;1;3,0;1;3,True,1.0,0.23018522889163434,0.2109787968379389,0.019206432053695432
SKS02,2,3,EQM_4,0;1;3,0;1;3,True,1.0,0.19572550947239298,0.2529430940125893,-0.05721758454019632
SKS02,2,3,EQM_5,0;1;3,0;1;3,True,1.0,0.18714604951974717,0.2291970090148267,-0.04205095949507953
SKS02,2,3,EQM_6,0;1;3,0;1;3,True,1.0,0.19493169458385728,0.21190450936364008,-0.016972814779782797
SKS02,3,4,EQM_1,0;1;5;6,0;1;5;6,True,1.0,0.1748643278562691,0.19907622855586277,-0.02421190069959367
SKS02,3,4,EQM_2,0;1;5;6,0;1;5;6,True,1.0,0.1895462859384176,0.21197813222844952,-0.02243184629003192
SKS02,3,4,EQM_3,0;1;5;6,0;1;5;6,True,1.0,0.18925643797877578,0.21364819052670603,-0.024391752547930245
SKS02,3,4,EQM_4,0;1;5;6,0;1;5;6,True,1.0,0.18493940681095894,0.19874458376109536,-0.013805176950136416
SKS02,3,4,EQM_5,0;1;5;6,0;1;5;6,True,1.0,0.17118350179732017,0.1985155305588065,-0.027332028761486327
SKS02,3,4,EQM_6,0;1;5;6,0;1;5;6,True,1.0,0.1873238515749077,0.19488332919182394,-0.007559477616916249
SKS02,4,5,EQM_1,0;1;5;6;7,0;1;5;6;7,True,1.0,0.07966154219795993,0.18903626084190506,-0.10937471864394513
SKS02,4,5,EQM_2,0;1;5;6;7,0;1;5;6;7,True,1.0,0.08638169422246339,0.20191757195125865,-0.11553587772879526
SKS02,4,5,EQM_3,0;1;5;6;7,0;1;5;6;7,True,1.0,0.10982984405836495,0.19440662996481908,-0.08457678590645414
SKS02,4,5,EQM_4,0;1;5;6;7,0;1;5;6;7,True,1.0,0.04800015822827702,0.197129085266691,-0.149128927038414
SKS02,4,5,EQM_5,0;1;5;6;7,0;1;5;6;7,True,1.0,0.050497395429849795,0.19710214498151174,-0.14660474955166194
SKS02,4,5,EQM_6,0;1;5;6;7,0;1;5;6;7,True,1.0,0.06329958585314481,0.19211891916426713,-0.12881933331112233
SKS03,2,3,EQM_1,0;1;5,0;1;5,True,1.0,0.10391836630121257,0.23024907637267522,-0.12633071007146265
SKS03,2,3,EQM_2,0;1;5,0;1;5,True,1.0,0.100404065764939,0.25083962724641173,-0.15043556148147275
SKS03,2,3,EQM_3,0;1;5,0;1;6,False,0.5,0.11719594639357263,0.27918867932158387,-0.16199273292801125
SKS03,2,3,EQM_4,0;1;5,0;1;5,True,1.0,0.08027311168213294,0.2932916126274073,-0.21301850094527439
SKS03,2,3,EQM_5,0;1;5,0;1;5,True,1.0,0.11394639808363677,0.2897737659881906,-0.17582736790455383
SKS03,3,4,EQM_1,0;1;3;7,0;1;3;7,True,1.0,0.06557456215141058,0.14123979808653164,-0.07566523593512106
SKS03,3,4,EQM_2,0;1;3;7,0;1;3;5,False,0.6,0.08071631539549795,0.1419427172681408,-0.06122640187264286
SKS03,3,4,EQM_3,0;1;3;7,0;1;4;7,False,0.6,0.0928444966459924,0.14924807600873058,-0.05640357936273818
SKS03,3,4,EQM_4,0;1;3;7,0;1;3;7,True,1.0,0.0645973690160145,0.15196508764937477,-0.08736771863336028
SKS03,3,4,EQM_5,0;1;3;7,0;1;3;7,True,1.0,0.06951439772267126,0.1796036112307211,-0.11008921350804984
SKS03,4,5,EQM_1,0;1;4;6;7,0;1;4;6;7,True,1.0,0.042601538212251114,0.1277125082525583,-0.0851109700403072
SKS03,4,5,EQM_2,0;1;4;6;7,0;1;4;6;7,True,1.0,0.04692619914295737,0.1392168591347026,-0.09229065999174524
SKS03,4,5,EQM_3,0;1;4;6;7,0;1;3;6;7,False,0.6666666666666666,0.07887669199166598,0.14777917460571127,-0.06890248261404529
SKS03,4,5,EQM_4,0;1;4;6;7,0;1;4;6;7,True,1.0,0.03805216292567128,0.15240787929292032,-0.11435571636724903
SKS03,4,5,EQM_5,0;1;4;6;7,0;1;4;6;7,True,1.0,0.0434203659003935,0.15512376549958892,-0.11170339959919542
