source_test,additional_stations_b,total_retained_stations,gage_index_top_to_bottom,normalised_depth,selection_frequency
SKS02,2,3,0,0.0,1.0
SKS02,2,3,1,0.14285714285714285,1.0
SKS02,2,3,2,0.2857142857142857,0.0
SKS02,2,3,3,0.42857142857142855,1.0
SKS02,2,3,4,0.5714285714285714,0.0
SKS02,2,3,5,0.7142857142857142,0.0
SKS02,2,3,6,0.8571428571428571,0.0
SKS02,2,3,7,1.0,0.0
SKS02,3,4,0,0.0,1.0
SKS02,3,4,1,0.14285714285714285,1.0
SKS02,3,4,2,0.2857142857142857,0.0
SKS02,3,4,3,0.42857142857142855,0.0
SKS02,3,4,4,0.5714285714285714,0.0
SKS02,3,4,5,0.7142857142857142,1.0
SKS02,3,4,6,0.8571428571428571,1.0
SKS02,3,4,7,1.0,0.0
SKS02,4,5,0,0.0,1.0
SKS02,4,5,1,0.14285714285714285,1.0
SKS02,4,5,2,0.2857142857142857,0.0
SKS02,4,5,3,0.42857142857142855,0.0
SKS02,4,5,4,0.5714285714285714,0.0
SKS02,4,5,5,0.7142857142857142,1.0
SKS02,4,5,6,0.8571428571428571,1.0
SKS02,4,5,7,1.0,1.0
SKS03,2,3,0,0.0,1.0
SKS03,2,3,1,0.14285714285714285,1.0
SKS03,2,3,2,0.2857142857142857,0.0
SKS03,2,3,3,0.42857142857142855,0.0
SKS03,2,3,4,0.5714285714285714,0.0
SKS03,2,3,5,0.7142857142857142,0.8
SKS03,2,3,6,0.8571428571428571,0.2
SKS03,2,3,7,1.0,0.0
SKS03,3,4,0,0.0,1.0
SKS03,3,4,1,0.14285714285714285,1.0
SKS03,3,4,2,0.2857142857142857,0.0
SKS03,3,4,3,0.42857142857142855,0.8
SKS03,3,4,4,0.5714285714285714,0.2
SKS03,3,4,5,0.7142857142857142,0.2
SKS03,3,4,6,0.8571428571428571,0.0
SKS03,3,4,7,1.0,0.8
SKS03,4,5,0,0.0,1.0
SKS03,4,5,1,0.14285714285714285,1.0
SKS03,4,5,2,0.2857142857142857,0.0
SKS03,4,5,3,0.42857142857142855,0.2
SKS03,4,5,4,0.5714285714285714,0.8
SKS03,4,5,5,0.7142857142857142,0.0
SKS03,4,5,6,0.8571428571428571,1.0
SKS03,4,5,7,1.0,1.0
