selection_test,evaluation_test,direction,event,additional_stations_b,metric,metric_label,candidate_event_value,uniform_event_value,paired_delta_candidate_minus_uniform
SKS03,SKS02,SKS03→SKS02,EQM_1,2,cluster_p90_nrmse,p90 profile NRMSE,0.25458698401944757,0.2127026720011137,0.04188431201833387
SKS03,SKS02,SKS03→SKS02,EQM_2,2,cluster_p90_nrmse,p90 profile NRMSE,0.26421878218494543,0.22287241702768784,0.04134636515725759
SKS03,SKS02,SKS03→SKS02,EQM_3,2,cluster_p90_nrmse,p90 profile NRMSE,0.2721772400457584,0.21097879683793885,0.06119844320781953
SKS03,SKS02,SKS03→SKS02,EQM_4,2,cluster_p90_nrmse,p90 profile NRMSE,0.2084011505345014,0.2529430940125892,-0.04454194347808779
SKS03,SKS02,SKS03→SKS02,EQM_5,2,cluster_p90_nrmse,p90 profile NRMSE,0.21062367161930096,0.22919700901482665,-0.01857333739552569
SKS03,SKS02,SKS03→SKS02,EQM_6,2,cluster_p90_nrmse,p90 profile NRMSE,0.2169544918383805,0.21190450936364,0.005049982474740505
SKS03,SKS02,SKS03→SKS02,EQM_1,2,cluster_p90_peak_load_relative_error,p90 peak-load relative error,0.26271811551027985,0.3866473945323809,-0.12392927902210105
SKS03,SKS02,SKS03→SKS02,EQM_2,2,cluster_p90_peak_load_relative_error,p90 peak-load relative error,0.27119139798412334,0.3910631605175613,-0.11987176253343795
SKS03,SKS02,SKS03→SKS02,EQM_3,2,cluster_p90_peak_load_relative_error,p90 peak-load relative error,0.36265944888625545,0.3544766927154741,0.008182756170781347
SKS03,SKS02,SKS03→SKS02,EQM_4,2,cluster_p90_peak_load_relative_error,p90 peak-load relative error,0.23832231481928567,0.4552261628951253,-0.21690384807583962
SKS03,SKS02,SKS03→SKS02,EQM_5,2,cluster_p90_peak_load_relative_error,p90 peak-load relative error,0.305720516729675,0.4097956097233235,-0.10407509299364853
SKS03,SKS02,SKS03→SKS02,EQM_6,2,cluster_p90_peak_load_relative_error,p90 peak-load relative error,0.3538306318252099,0.4141641272698689,-0.06033349544465899
SKS03,SKS02,SKS03→SKS02,EQM_1,2,cluster_p90_peak_depth_error_z_over_l,"p90 discrete peak-depth error, z/L",0.42857142857142855,0.2142857142857143,0.21428571428571425
