selection_test,evaluation_test,direction,additional_stations_b,metric,metric_label,earthquake_events,median_candidate_event_value,median_uniform_event_value,median_paired_delta_candidate_minus_uniform,bootstrap_95_ci_low,bootstrap_95_ci_high,events_candidate_better,events_tied,events_candidate_worse,fraction_events_candidate_better
SKS03,SKS02,SKS03→SKS02,2,cluster_p90_nrmse,p90 profile NRMSE,6,0.23577073792891404,0.21778754451440077,0.02319817381599905,-0.03155764043680674,0.0515413776130767,2,0,4,0.3333333333333333
SKS03,SKS02,SKS03→SKS02,2,cluster_p90_peak_load_relative_error,p90 peak-load relative error,6,0.28845595735689916,0.4004293851204424,-0.11197342776354324,-0.17041656354897033,-0.026075369636938822,5,0,1,0.8333333333333334
SKS03,SKS02,SKS03→SKS02,2,cluster_p90_peak_depth_error_z_over_l,"p90 discrete peak-depth error, z/L",6,0.42857142857142855,0.25,0.21428571428571425,0.17857142857142855,0.4285714285714285,0,0,6,0.0
SKS03,SKS02,SKS03→SKS02,3,cluster_p90_nrmse,p90 profile NRMSE,6,0.19757400619084287,0.198910406158479,-0.005889964492901079,-0.01697900361198608,-0.0013363999676361538,6,0,0,1.0
SKS03,SKS02,SKS03→SKS02,3,cluster_p90_peak_load_relative_error,p90 peak-load relative error,6,0.34136590676926104,0.32136402357285393,0.030401345308004285,-0.0039042638038512267,0.04767989421077973,1,0,5,0.16666666666666666
SKS03,SKS02,SKS03→SKS02,3,cluster_p90_peak_depth_error_z_over_l,"p90 discrete peak-depth error, z/L",6,0.6428571428571428,0.35714285714285715,0.1428571428571428,0.0714285714285714,0.28571428571428564,0,0,6,0.0
SKS03,SKS02,SKS03→SKS02,4,cluster_p90_nrmse,p90 profile NRMSE,6,0.13850496075187235,0.19575438747316537,-0.053494997570867245,-0.08143865891535235,-0.03410156483594115,6,0,0,1.0
SKS03,SKS02,SKS03→SKS02,4,cluster_p90_peak_load_relative_error,p90 peak-load relative error,6,0.0,0.31935401492956306,-0.31935401492956306,-0.33888586513417585,-0.28172176392222026,6,0,0,1.0
SKS03,SKS02,SKS03→SKS02,4,cluster_p90_peak_depth_error_z_over_l,"p90 discrete peak-depth error, z/L",6,0.0,0.35714285714285715,-0.35714285714285715,-0.5,-0.2857142857142857,6,0,0,1.0
SKS03,SKS02,SKS03→SKS02,5,cluster_p90_nrmse,p90 profile NRMSE,6,0.1361274285877298,0.1361274285877298,0.0,0.0,0.0,0,6,0,0.0
SKS03,SKS02,SKS03→SKS02,5,cluster_p90_peak_load_relative_error,p90 peak-load relative error,6,0.0,0.0,0.0,0.0,0.0,0,6,0,0.0
SKS03,SKS02,SKS03→SKS02,5,cluster_p90_peak_depth_error_z_over_l,"p90 discrete peak-depth error, z/L",6,0.0,0.0,0.0,0.0,0.0,0,6,0,0.0
SKS02,SKS03,SKS02→SKS03,2,cluster_p90_nrmse,p90 profile NRMSE,5,0.1343709486403481,0.27918867932158387,-0.11559356967212003,-0.15892066398705923,-0.07837210714766804,5,0,0,1.0
SKS02,SKS03,SKS02→SKS03,2,cluster_p90_peak_load_relative_error,p90 peak-load relative error,5,0.0527967653583305,0.1145105007036248,-0.10805746300838864,-0.1434609866039179,-0.018518312618657745,5,0,0,1.0
SKS02,SKS03,SKS02→SKS03,2,cluster_p90_peak_depth_error_z_over_l,"p90 discrete peak-depth error, z/L",5,0.1428571428571428,0.1428571428571428,0.0,-0.0714285714285714,0.0,1,4,0,0.2
SKS02,SKS03,SKS02→SKS03,3,cluster_p90_nrmse,p90 profile NRMSE,5,0.09797233267943675,0.14924807600873055,-0.05509396842017225,-0.08060505967578174,-0.042284871225891585,5,0,0,1.0
SKS02,SKS03,SKS02→SKS03,3,cluster_p90_peak_load_relative_error,p90 peak-load relative error,5,0.0480594759017366,0.04163695336023485,0.01294688621131515,-0.007054475201749302,0.02228683570652129,1,0,4,0.2
SKS02,SKS03,SKS02→SKS03,3,cluster_p90_peak_depth_error_z_over_l,"p90 discrete peak-depth error, z/L",5,0.14285714285714285,0.0714285714285714,0.07142857142857145,0.0714285714285714,0.14285714285714285,0,0,5,0.0
SKS02,SKS03,SKS02→SKS03,4,cluster_p90_nrmse,p90 profile NRMSE,5,0.05300429349682355,0.14777917460571127,-0.086212565637879,-0.11720456188845114,-0.05960620562216956,5,0,0,1.0
SKS02,SKS03,SKS02→SKS03,4,cluster_p90_peak_load_relative_error,p90 peak-load relative error,5,0.0480594759017366,0.0358127725748409,0.014127408414720197,0.011033641533336448,0.06271309263218974,0,0,5,0.0
SKS02,SKS03,SKS02→SKS03,4,cluster_p90_peak_depth_error_z_over_l,"p90 discrete peak-depth error, z/L",5,0.14285714285714285,0.0714285714285714,0.07142857142857145,0.0714285714285714,0.2142857142857143,0,0,5,0.0
SKS02,SKS03,SKS02→SKS03,5,cluster_p90_nrmse,p90 profile NRMSE,5,0.03530947878734205,0.0354261224245807,-0.00046636108641719826,-0.013064779702176451,0.024385131150037254,3,0,2,0.6
SKS02,SKS03,SKS02→SKS03,5,cluster_p90_peak_load_relative_error,p90 peak-load relative error,5,0.043359222089750696,0.0234690106568693,0.015595916490293855,-0.0250350326009876,0.0542919678000206,1,0,4,0.2
SKS02,SKS03,SKS02→SKS03,5,cluster_p90_peak_depth_error_z_over_l,"p90 discrete peak-depth error, z/L",5,0.14285714285714285,0.07142857142857145,0.0714285714285714,-0.0714285714285714,0.21428571428571425,1,1,3,0.2
