test,event,pile,layout,additional_stations_b,snapshots,cluster_median_nrmse,cluster_p90_nrmse,cluster_median_mae_mn,cluster_p90_peak_load_relative_error,cluster_p90_peak_depth_error_z_over_l
SKS02,EQM_1,1,pooled_robust_2,2,120,0.22074676301134674,0.22240807570935137,0.09113896618985695,0.20916673201006872,0.7142857142857142
SKS02,EQM_1,1,pooled_robust_3,3,120,0.18139529894903694,0.18371644780480226,0.08603170147919376,0.0,0.0
SKS02,EQM_1,1,pooled_robust_4,4,120,0.1247091547149216,0.12633651416981093,0.050587111508452534,0.0,0.0
SKS02,EQM_1,1,pooled_robust_5,5,120,0.030064775549365347,0.03101362367450867,0.008833817457737324,0.0,0.0
SKS02,EQM_1,1,static_transfer_2,2,120,0.3082373936621236,0.310912140384878,0.1418057050552666,0.0,0.0
SKS02,EQM_1,1,static_transfer_3,3,120,0.29819770527294254,0.30123692041098304,0.13069387597529258,0.0,0.0
SKS02,EQM_1,1,static_transfer_4,4,120,0.2765471465645135,0.27902226093211707,0.11396774463589077,0.0,0.0
SKS02,EQM_1,1,static_transfer_5,5,120,0.24057486696244254,0.24316780096841445,0.06715259224642392,0.0,0.0
SKS02,EQM_1,1,trained_SKS02_applied_all_2,2,120,0.22074676301134674,0.22240807570935137,0.09113896618985695,0.20916673201006872,0.7142857142857142
SKS02,EQM_1,1,trained_SKS02_applied_all_3,3,120,0.18139529894903694,0.18371644780480226,0.08603170147919376,0.0,0.0
SKS02,EQM_1,1,trained_SKS02_applied_all_4,4,120,0.1247091547149216,0.12633651416981093,0.050587111508452534,0.0,0.0
SKS02,EQM_1,1,trained_SKS02_applied_all_5,5,120,0.030064775549365347,0.03101362367450867,0.008833817457737324,0.0,0.0
SKS02,EQM_1,1,trained_SKS03_applied_all_2,2,120,0.3789293339034364,0.38206951787734045,0.1805276592977893,0.20916673201006872,0.7142857142857142
SKS02,EQM_1,1,trained_SKS03_applied_all_3,3,120,0.2189244074948703,0.22109740313064924,0.08574370204811443,0.20916673201006872,0.7142857142857142
SKS02,EQM_1,1,trained_SKS03_applied_all_4,4,120,0.24209825394103923,0.24454867939489683,0.07295562703185955,0.0,0.0
SKS02,EQM_1,1,trained_SKS03_applied_all_5,5,120,0.24057486696244254,0.24316780096841445,0.06715259224642392,0.0,0.0
SKS02,EQM_1,1,uniform_2,2,120,0.26228814833777475,0.2650719412353853,0.13759527904204596,0.3779209391388605,0.1428571428571429
SKS02,EQM_1,1,uniform_3,3,120,0.2569791175137992,0.25926081401073275,0.11317407834850457,0.2823441563164043,0.5714285714285714
SKS02,EQM_1,1,uniform_4,4,120,0.2376423585473496,0.2393052851755492,0.08833777877113136,0.2823441563164043,0.5714285714285714
SKS02,EQM_1,1,uniform_5,5,120,0.24057486696244254,0.24316780096841445,0.06715259224642392,0.0,0.0
SKS02,EQM_1,2,pooled_robust_2,2,120,0.1788611898808753,0.1794636047715083,0.11224383603896101,0.47361178421701905,0.42857142857142855
SKS02,EQM_1,2,pooled_robust_3,3,120,0.16565981821815998,0.1660122079077359,0.09109021103896102,0.0,0.0
SKS02,EQM_1,2,pooled_robust_4,4,120,0.032572102809849554,0.032986570226108916,0.02285117126623374,0.0,0.0
SKS02,EQM_1,2,pooled_robust_5,5,120,0.023306780631586657,0.023699549230890796,0.013683326298701295,0.0,0.0
SKS02,EQM_1,2,static_transfer_2,2,120,0.12574694686043653,0.12679563985286563,0.10456778327922077,0.0,0.0
SKS02,EQM_1,2,static_transfer_3,3,120,0.06469947078964267,0.0658197311480544,0.04386018831168829,0.0,0.0
SKS02,EQM_1,2,static_transfer_4,4,120,0.04515400315859828,0.045887791118990474,0.026151962391774884,0.0,0.0
SKS02,EQM_1,2,static_transfer_5,5,120,0.043125101504670416,0.04347412263419008,0.022419393668831167,0.0,0.0
SKS02,EQM_1,2,trained_SKS02_applied_all_2,2,120,0.1788611898808753,0.1794636047715083,0.11224383603896101,0.47361178421701905,0.42857142857142855
SKS02,EQM_1,2,trained_SKS02_applied_all_3,3,120,0.16565981821815998,0.1660122079077359,0.09109021103896102,0.0,0.0
SKS02,EQM_1,2,trained_SKS02_applied_all_4,4,120,0.032572102809849554,0.032986570226108916,0.02285117126623374,0.0,0.0
SKS02,EQM_1,2,trained_SKS02_applied_all_5,5,120,0.023306780631586657,0.023699549230890796,0.013683326298701295,0.0,0.0
SKS02,EQM_1,2,trained_SKS03_applied_all_2,2,120,0.1265284520167949,0.1271044501615547,0.09109021103896102,0.31626949901049106,0.1428571428571429
SKS02,EQM_1,2,trained_SKS03_applied_all_3,3,120,0.1743812213459393,0.17447694188620472,0.1072361737012987,0.46049155063560016,0.1428571428571429
SKS02,EQM_1,2,trained_SKS03_applied_all_4,4,120,0.047557896202236744,0.04777835791448405,0.031158974025974007,0.0,0.0
SKS02,EQM_1,2,trained_SKS03_applied_all_5,5,120,0.043125101504670416,0.04347412263419008,0.022419393668831167,0.0,0.0
SKS02,EQM_1,2,uniform_2,2,120,0.15988422525704676,0.16033340276684213,0.09382705194805194,0.39537384992590136,0.2857142857142857
SKS02,EQM_1,2,uniform_3,3,120,0.13817370976737517,0.13889164310099275,0.06970332711038962,0.31626949901049106,0.1428571428571429
SKS02,EQM_1,2,uniform_4,4,120,0.1380688703203235,0.13876723650826092,0.06752000568181818,0.31626949901049106,0.1428571428571429
SKS02,EQM_1,2,uniform_5,5,120,0.043125101504670416,0.04347412263419008,0.022419393668831167,0.0,0.0
SKS02,EQM_2,1,pooled_robust_2,2,120,0.2195495937450786,0.23580170639103606,0.10526250406371912,0.22656737099060517,0.7142857142857142
SKS02,EQM_2,1,pooled_robust_3,3,120,0.18691369000221542,0.20476655247110948,0.08505449772431731,0.0,0.0
SKS02,EQM_2,1,pooled_robust_4,4,120,0.12567976938714026,0.13399383525678546,0.047045855819245794,0.0,0.0
SKS02,EQM_2,1,pooled_robust_5,5,120,0.058445338358450845,0.05888675105839885,0.01942097122886866,0.0,0.0
SKS02,EQM_2,1,static_transfer_2,2,120,0.2970331112356457,0.3314331029634812,0.1407727787711313,0.0,0.0
SKS02,EQM_2,1,static_transfer_3,3,120,0.28201166082941825,0.3152966885934406,0.12364596797789336,0.0,0.0
SKS02,EQM_2,1,static_transfer_4,4,120,0.2756239838447627,0.3036136566559461,0.11781384793563066,0.0,0.0
SKS02,EQM_2,1,static_transfer_5,5,120,0.23934571734084598,0.2629781554041963,0.06988202942132639,0.0,0.0
SKS02,EQM_2,1,trained_SKS02_applied_all_2,2,120,0.2195495937450786,0.23580170639103606,0.10526250406371912,0.22656737099060517,0.7142857142857142
SKS02,EQM_2,1,trained_SKS02_applied_all_3,3,120,0.18691369000221542,0.20476655247110948,0.08505449772431731,0.0,0.0
SKS02,EQM_2,1,trained_SKS02_applied_all_4,4,120,0.12567976938714026,0.13399383525678546,0.047045855819245794,0.0,0.0
SKS02,EQM_2,1,trained_SKS02_applied_all_5,5,120,0.058445338358450845,0.05888675105839885,0.01942097122886866,0.0,0.0
SKS02,EQM_2,1,trained_SKS03_applied_all_2,2,120,0.364010741029943,0.39673281500332397,0.17433045188556567,0.22656737099060517,0.7142857142857142
SKS02,EQM_2,1,trained_SKS03_applied_all_3,3,120,0.21138208912797213,0.23369605697286594,0.09448288849154748,0.22656737099060517,0.7142857142857142
SKS02,EQM_2,1,trained_SKS03_applied_all_4,4,120,0.2459962795030517,0.2681170080053606,0.0850139227080624,0.0,0.0
SKS02,EQM_2,1,trained_SKS03_applied_all_5,5,120,0.23934571734084598,0.2629781554041963,0.06988202942132639,0.0,0.0
SKS02,EQM_2,1,uniform_2,2,120,0.2517445904211874,0.2795203844228485,0.13615770914607717,0.3853693750897296,0.2857142857142857
SKS02,EQM_2,1,uniform_3,3,120,0.25886015519629346,0.281213944824933,0.11437279218140445,0.30689136915227627,0.5714285714285714
SKS02,EQM_2,1,uniform_4,4,120,0.23893978970924135,0.2614660225864907,0.09610035801365407,0.30675552846977755,0.5714285714285714
