test,layout,additional_stations_b,independent_pile_event_clusters,median_cluster_p90_nrmse,p90_cluster_p90_nrmse,max_cluster_p90_nrmse,median_cluster_mae_mn
SKS02,pooled_robust_2,2,12,0.19504675979032343,0.2344623433228676,0.24971271916129978,0.12083127637987015
SKS02,trained_SKS02_applied_all_2,2,12,0.19504675979032343,0.2344623433228676,0.24971271916129978,0.12083127637987015
SKS02,uniform_2,2,12,0.21190450936364008,0.29638432995470376,0.32310656860170506,0.12532763947563597
SKS02,static_transfer_2,2,12,0.2165994209024876,0.3138612130001969,0.3314331029634812,0.14128924191319897
SKS02,trained_SKS03_applied_all_2,2,12,0.210677779457706,0.3952664852907256,0.41463397197432683,0.13432850682282604
SKS03,trained_SKS03_applied_all_2,2,10,0.09187508891466795,0.12551110606451696,0.15956153886160743,0.10388553043831168
SKS03,pooled_robust_2,2,10,0.1474380435776061,0.2139789483951481,0.3166462642974157,0.1946152824675325
SKS03,trained_SKS02_applied_all_2,2,10,0.1474380435776061,0.2139789483951481,0.3166462642974157,0.1946152824675325
SKS03,uniform_2,2,10,0.27071961283477897,0.3223634342023936,0.342626722436923,0.36242999688852817
SKS03,static_transfer_2,2,10,0.3671501136583436,0.42865982613759157,0.4495992187859919,0.4971798567370129
SKS02,pooled_robust_3,3,12,0.17766064559880462,0.204333830912089,0.23149114370042728,0.09055227493593046
SKS02,trained_SKS02_applied_all_3,3,12,0.17766064559880462,0.204333830912089,0.23149114370042728,0.09055227493593046
SKS02,trained_SKS03_applied_all_3,3,12,0.18770254989679974,0.2324361915886443,0.23859852365235842,0.10825032230253492
SKS02,uniform_3,3,12,0.19488332919182394,0.279018631743513,0.29338178586596436,0.09793762886581074
SKS02,static_transfer_3,3,12,0.1815963934848548,0.3107006984298721,0.3152966885934406,0.09610229865344883
SKS03,trained_SKS03_applied_all_3,3,10,0.07605607115092834,0.09040443943093666,0.11117045813272895,0.08796411810064939
SKS03,pooled_robust_3,3,10,0.07212227743943089,0.13107881819434358,0.149891837475273,0.08876982995129874
SKS03,trained_SKS02_applied_all_3,3,10,0.07212227743943089,0.13107881819434358,0.149891837475273,0.08876982995129874
SKS03,uniform_3,3,10,0.15509625975435914,0.17795671796218396,0.18288963918340154,0.15031236864177494
SKS03,static_transfer_3,3,10,0.2006512273866991,0.2505600719568386,0.2627292920475001,0.20489839745670996
SKS02,pooled_robust_4,4,12,0.05084919305290245,0.133228103148088,0.17835062722534556,0.03402044963627075
SKS02,trained_SKS02_applied_all_4,4,12,0.05084919305290245,0.133228103148088,0.17835062722534556,0.03402044963627075
SKS02,uniform_4,4,12,0.19211891916426713,0.25479338360534093,0.2614660225864907,0.08117039912582541
SKS02,trained_SKS03_applied_all_4,4,12,0.12155878772011867,0.2657601751443142,0.2902260308125363,0.05309830702242327
SKS02,static_transfer_4,4,12,0.16363093051461705,0.30111641138026707,0.3036136566559461,0.0745668859813653
SKS03,trained_SKS03_applied_all_4,4,10,0.04277474542806295,0.07013995888618896,0.08579638292970608,0.04710974472402597
SKS03,pooled_robust_4,4,10,0.043835758052031354,0.11199864224256413,0.1486586213132306,0.04792208360389613
SKS03,trained_SKS02_applied_all_4,4,10,0.043835758052031354,0.11199864224256413,0.1486586213132306,0.04792208360389613
SKS03,uniform_4,4,10,0.14195703979334698,0.17630657249025705,0.17725264352255987,0.1454200174512987
SKS03,static_transfer_4,4,10,0.19189211012081603,0.25053838456627703,0.2625351514796885,0.19648678855519486
SKS02,pooled_robust_5,5,12,0.029483787290701162,0.05801036663579389,0.08303642578789897,0.015862404220779218
SKS02,trained_SKS02_applied_all_5,5,12,0.029483787290701162,0.05801036663579389,0.08303642578789897,0.015862404220779218
SKS02,static_transfer_5,5,12,0.12107197499636445,0.2609971199606181,0.2799446960264155,0.04954699498684832
SKS02,trained_SKS03_applied_all_5,5,12,0.12107197499636445,0.2609971199606181,0.2799446960264155,0.04954699498684832
SKS02,uniform_5,5,12,0.12107197499636445,0.2609971199606181,0.2799446960264155,0.04954699498684832
SKS03,static_transfer_5,5,10,0.024181653445346236,0.05001041370357486,0.060493896725821415,0.01720105073051946
SKS03,trained_SKS03_applied_all_5,5,10,0.024181653445346236,0.05001041370357486,0.060493896725821415,0.01720105073051946
SKS03,uniform_5,5,10,0.024181653445346236,0.05001041370357486,0.060493896725821415,0.01720105073051946
SKS03,pooled_robust_5,5,10,0.028557938482832633,0.06496671302264356,0.0801923411605506,0.028585417207792216
SKS03,trained_SKS02_applied_all_5,5,10,0.028557938482832633,0.06496671302264356,0.0801923411605506,0.028585417207792216
