training_test,evaluation_scope,additional_stations_b,layout,gage_indices_top_to_bottom,normalised_depths
SKS02,both tests,2,trained_SKS02_applied_all_2,0;1;3,0.000;0.143;0.429
SKS03,both tests,2,trained_SKS03_applied_all_2,0;1;5,0.000;0.143;0.714
SKS02+SKS03,both tests,2,pooled_robust_2,0;1;3,0.000;0.143;0.429
SKS02,both tests,3,trained_SKS02_applied_all_3,0;1;5;6,0.000;0.143;0.714;0.857
SKS03,both tests,3,trained_SKS03_applied_all_3,0;1;3;7,0.000;0.143;0.429;1.000
SKS02+SKS03,both tests,3,pooled_robust_3,0;1;5;6,0.000;0.143;0.714;0.857
SKS02,both tests,4,trained_SKS02_applied_all_4,0;1;5;6;7,0.000;0.143;0.714;0.857;1.000
SKS03,both tests,4,trained_SKS03_applied_all_4,0;1;4;6;7,0.000;0.143;0.571;0.857;1.000
SKS02+SKS03,both tests,4,pooled_robust_4,0;1;5;6;7,0.000;0.143;0.714;0.857;1.000
SKS02,both tests,5,trained_SKS02_applied_all_5,0;1;4;5;6;7,0.000;0.143;0.571;0.714;0.857;1.000
SKS03,both tests,5,trained_SKS03_applied_all_5,0;1;3;4;6;7,0.000;0.143;0.429;0.571;0.857;1.000
SKS02+SKS03,both tests,5,pooled_robust_5,0;1;4;5;6;7,0.000;0.143;0.571;0.714;0.857;1.000
