training_test,evaluation_test,direction,additional_stations_b,smoothing,smoothing_multiplier,normalisation_floor_mn,specification,selected_gage_indices_top_to_bottom,selected_normalised_depths,earthquake_clusters,median_candidate_minus_uniform,bootstrap_95_low,bootstrap_95_high,fraction_events_candidate_better
SKS02,SKS03,SKS02 to SKS03,2,none,0.0,0.025,none; floor=0.025 MN,0;1;3,0.000;0.143;0.429,5,-0.11536160650313129,-0.15992449030418876,-0.07682118668040389,1.0
SKS02,SKS03,SKS02 to SKS03,3,none,0.0,0.025,none; floor=0.025 MN,0;1;5;6,0.000;0.143;0.714;0.857,5,-0.05540870386968489,-0.07607505868677368,-0.04227926937786447,1.0
SKS02,SKS03,SKS02 to SKS03,4,none,0.0,0.025,none; floor=0.025 MN,0;1;5;6;7,0.000;0.143;0.714;0.857;1.000,5,-0.08512070866880339,-0.11516463544628798,-0.058918314563152926,1.0
SKS03,SKS02,SKS03 to SKS02,2,none,0.0,0.025,none; floor=0.025 MN,0;1;5,0.000;0.143;0.714,6,0.02360733532245283,-0.03175580646608878,0.05167334126877808,0.3333333333333333
SKS03,SKS02,SKS03 to SKS02,3,none,0.0,0.025,none; floor=0.025 MN,0;1;3;7,0.000;0.143;0.429;1.000,6,-0.00535153945694275,-0.01758891687367114,-0.0010671167816687296,1.0
SKS03,SKS02,SKS03 to SKS02,4,none,0.0,0.025,none; floor=0.025 MN,0;1;4;6;7,0.000;0.143;0.571;0.857;1.000,6,-0.05406799312042458,-0.08063431135770605,-0.03408842951201972,1.0
SKS02,SKS03,SKS02 to SKS03,2,none,0.0,0.05,none; floor=0.050 MN,0;1;3,0.000;0.143;0.429,5,-0.11536160650313129,-0.15992449030418876,-0.07682118668040389,1.0
SKS02,SKS03,SKS02 to SKS03,3,none,0.0,0.05,none; floor=0.050 MN,0;1;5;6,0.000;0.143;0.714;0.857,5,-0.05540870386968489,-0.07607505868677368,-0.04227926937786447,1.0
SKS02,SKS03,SKS02 to SKS03,4,none,0.0,0.05,none; floor=0.050 MN,0;1;5;6;7,0.000;0.143;0.714;0.857;1.000,5,-0.08512070866880339,-0.11516463544628798,-0.058918314563152926,1.0
SKS03,SKS02,SKS03 to SKS02,2,none,0.0,0.05,none; floor=0.050 MN,0;1;5,0.000;0.143;0.714,6,0.02360733532245283,-0.03175580646608878,0.05167334126877808,0.3333333333333333
SKS03,SKS02,SKS03 to SKS02,3,none,0.0,0.05,none; floor=0.050 MN,0;1;3;7,0.000;0.143;0.429;1.000,6,-0.00535153945694275,-0.01758891687367114,-0.0010671167816687296,1.0
SKS03,SKS02,SKS03 to SKS02,4,none,0.0,0.05,none; floor=0.050 MN,0;1;4;6;7,0.000;0.143;0.571;0.857;1.000,6,-0.05406799312042458,-0.08063431135770605,-0.03408842951201972,1.0
SKS02,SKS03,SKS02 to SKS03,2,none,0.0,0.1,none; floor=0.100 MN,0;1;3,0.000;0.143;0.429,5,-0.11536160650313129,-0.15992449030418876,-0.07682118668040389,1.0
SKS02,SKS03,SKS02 to SKS03,3,none,0.0,0.1,none; floor=0.100 MN,0;1;5;6,0.000;0.143;0.714;0.857,5,-0.05540870386968489,-0.07607505868677368,-0.04227926937786447,1.0
SKS02,SKS03,SKS02 to SKS03,4,none,0.0,0.1,none; floor=0.100 MN,0;1;5;6;7,0.000;0.143;0.714;0.857;1.000,5,-0.08512070866880339,-0.11516463544628798,-0.058918314563152926,1.0
SKS03,SKS02,SKS03 to SKS02,2,none,0.0,0.1,none; floor=0.100 MN,0;1;5,0.000;0.143;0.714,6,0.02360733532245283,-0.03175580646608878,0.05167334126877808,0.3333333333333333
SKS03,SKS02,SKS03 to SKS02,3,none,0.0,0.1,none; floor=0.100 MN,0;1;3;7,0.000;0.143;0.429;1.000,6,-0.00535153945694275,-0.01758891687367114,-0.0010671167816687296,1.0
SKS03,SKS02,SKS03 to SKS02,4,none,0.0,0.1,none; floor=0.100 MN,0;1;4;6;7,0.000;0.143;0.571;0.857;1.000,6,-0.05406799312042458,-0.08063431135770605,-0.03408842951201972,1.0
SKS02,SKS03,SKS02 to SKS03,2,half_reported,0.5,0.025,half_reported; floor=0.025 MN,0;1;3,0.000;0.143;0.429,5,-0.11550575790547812,-0.15901334197818667,-0.07832275643194815,1.0
SKS02,SKS03,SKS02 to SKS03,3,half_reported,0.5,0.025,half_reported; floor=0.025 MN,0;1;5;6,0.000;0.143;0.714;0.857,5,-0.05528842088019055,-0.08081663356390398,-0.04245231389374317,1.0
SKS02,SKS03,SKS02 to SKS03,4,half_reported,0.5,0.025,half_reported; floor=0.025 MN,0;1;5;6;7,0.000;0.143;0.714;0.857;1.000,5,-0.08611378959819468,-0.11725565160394527,-0.059667959490182096,1.0
SKS03,SKS02,SKS03 to SKS02,2,half_reported,0.5,0.025,half_reported; floor=0.025 MN,0;1;5,0.000;0.143;0.714,6,0.02332260124281159,-0.03146723554083666,0.05151449124302958,0.3333333333333333
SKS03,SKS02,SKS03 to SKS02,3,half_reported,0.5,0.025,half_reported; floor=0.025 MN,0;1;3;7,0.000;0.143;0.429;1.000,6,-0.006127123021844823,-0.016481474959374832,-0.0013489864171634391,1.0
SKS03,SKS02,SKS03 to SKS02,4,half_reported,0.5,0.025,half_reported; floor=0.025 MN,0;1;4;6;7,0.000;0.143;0.571;0.857;1.000,6,-0.05381238023173602,-0.08187948044616591,-0.03399407548193957,1.0
SKS02,SKS03,SKS02 to SKS03,2,half_reported,0.5,0.05,half_reported; floor=0.050 MN,0;1;3,0.000;0.143;0.429,5,-0.11550575790547812,-0.15901334197818667,-0.07832275643194815,1.0
SKS02,SKS03,SKS02 to SKS03,3,half_reported,0.5,0.05,half_reported; floor=0.050 MN,0;1;5;6,0.000;0.143;0.714;0.857,5,-0.05528842088019055,-0.08081663356390398,-0.04245231389374317,1.0
SKS02,SKS03,SKS02 to SKS03,4,half_reported,0.5,0.05,half_reported; floor=0.050 MN,0;1;5;6;7,0.000;0.143;0.714;0.857;1.000,5,-0.08611378959819468,-0.11725565160394527,-0.059667959490182096,1.0
SKS03,SKS02,SKS03 to SKS02,2,half_reported,0.5,0.05,half_reported; floor=0.050 MN,0;1;5,0.000;0.143;0.714,6,0.02332260124281159,-0.03146723554083666,0.05151449124302958,0.3333333333333333
SKS03,SKS02,SKS03 to SKS02,3,half_reported,0.5,0.05,half_reported; floor=0.050 MN,0;1;3;7,0.000;0.143;0.429;1.000,6,-0.006127123021844823,-0.016481474959374832,-0.0013489864171634391,1.0
SKS03,SKS02,SKS03 to SKS02,4,half_reported,0.5,0.05,half_reported; floor=0.050 MN,0;1;4;6;7,0.000;0.143;0.571;0.857;1.000,6,-0.05381238023173602,-0.08187948044616591,-0.03399407548193957,1.0
SKS02,SKS03,SKS02 to SKS03,2,half_reported,0.5,0.1,half_reported; floor=0.100 MN,0;1;3,0.000;0.143;0.429,5,-0.11550575790547812,-0.15901334197818667,-0.07832275643194815,1.0
SKS02,SKS03,SKS02 to SKS03,3,half_reported,0.5,0.1,half_reported; floor=0.100 MN,0;1;5;6,0.000;0.143;0.714;0.857,5,-0.05528842088019055,-0.08081663356390398,-0.04245231389374317,1.0
SKS02,SKS03,SKS02 to SKS03,4,half_reported,0.5,0.1,half_reported; floor=0.100 MN,0;1;5;6;7,0.000;0.143;0.714;0.857;1.000,5,-0.08611378959819468,-0.11725565160394527,-0.059667959490182096,1.0
SKS03,SKS02,SKS03 to SKS02,2,half_reported,0.5,0.1,half_reported; floor=0.100 MN,0;1;5,0.000;0.143;0.714,6,0.02332260124281159,-0.03146723554083666,0.05151449124302958,0.3333333333333333
SKS03,SKS02,SKS03 to SKS02,3,half_reported,0.5,0.1,half_reported; floor=0.100 MN,0;1;3;7,0.000;0.143;0.429;1.000,6,-0.006127123021844823,-0.016481474959374832,-0.0013489864171634391,1.0
SKS03,SKS02,SKS03 to SKS02,4,half_reported,0.5,0.1,half_reported; floor=0.100 MN,0;1;4;6;7,0.000;0.143;0.571;0.857;1.000,6,-0.05381238023173602,-0.08187948044616591,-0.03399407548193957,1.0
